1. W|wente|vineyards 1883 cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
2. X
3. W|wente|vineyard southern hills cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
4. W|wente|southern hills estate cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
5. W|wente|southern hills estate cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
6. X
7. W|wente|southern hills cabernet sauvignon livermore valley|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
8. W|wente|southern hills cabernet sauvignon 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco
9. W|wente|southern hills cabernet sauvignon 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
10. W|wente|southern hills cabernet sauvignon 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
11. W|wente|southern hills cabernet sauvignon 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
12. W|wente|southern hills cabernet sauvignon 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
13. W|wente|southern hills cabernet sauvignon 2021 vin rosu|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco
14. W|wente|southern hills cabernet sauvignon 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco
15. W|wente|southern hills cabernet sauvignon 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
16. W|wente|southern hills cabernet sauvignon 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
17. W|wente|southern hills cabernet sauvignon 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
18. W|wente|southern hills cabernet sauvignon 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
19. W|wente|southern hills cabernet sauvignon 2020 red dry 135 075|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijo|seco
20. W|wente|southern hills cabernet sauvignon 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijo|seco
21. W|wente|southern hills cabernet sauvignon 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
22. W|wente|southern hills cabernet sauvignon 075|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
23. W|wente|southern hills cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
24. W|wente|southern hills cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
25. W|wente|southern hills cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
26. W|wente|southern hills cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
27. W|wente|southern hills cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
28. W|wente|southern hills cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
29. W|wente|southern hills cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
30. W|wente|southern hills cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
31. W|wente|southern hills cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
32. W|wente|southern hills cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
33. W|wente|southern hills cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
34. X
35. X
36. X
37. X
38. X
39. W|wente|southern hills 2020 cabernet sauvignon|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijo|seco
40. W|wente|southern hill cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
41. W|wente|sauvignon blanc louis mel|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
42. W|wente|sauvignon blanc louis mel|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
43. W|wente|sauvignon blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
44. W|wente|sauvignon blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
45. W|wente|sauvignon blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
46. W|wente|sauvignon blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
47. W|wente|sauthern hills cabernet sauvignon 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijo|seco
48. X
49. W|wente|sandstone merlot 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco
50. W|wente|sandstone merlot 2021 vin rosu|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco
51. W|wente|sandstone merlot 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco
