W|vino|rosado montgras pink sin|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado monterio rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado monte xanic rose grenache|??|p|grenache|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado monte xanic rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado monte xanic rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=4
W|vino|rosado monte xanic rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=4
W|vino|rosado monte xanic grenache|??|p|grenache|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado miura lj rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado mira napa rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado minuty prestige|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado minuty m|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado minuty m|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=11
W|vino|rosado mezzacorona castel firmian lagrein|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado mexico|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado mexico|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=14
W|vino|rosado merlot|??|p|merlot|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado meiomi rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado meiomi rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=17
W|vino|rosado matua|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado mateus rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado mateus|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado massetino|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado martin codax cuatro pasos rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado marques de riscal x|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado marques de riscal|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado marques de caceres rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado marques de caceres excellens rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado marques de caceres|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado marques de caceres|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=28
W|vino|rosado marques de caceres|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=28
W|vino|rosado marques de caceres|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=28
W|vino|rosado marques cinsault rose 750|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado marchile rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado mapiabelle|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado maison sainte marguerite|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado maison nicolas pinot noir rose|??|p|pinot noir|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado maison castel aoc cotes de provence|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado maipo classic series rose 750|cl|p|??|maipo valley|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado madera 5 sangiovese|??|p|sangiovese|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado madera 5 sangiovese|??|p|sangiovese|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=39
W|vino|rosado lve legend vineyard exclusive french rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|rosado los vascos rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
