W|vino|opprimmerlot opt 34|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|opprima temprbt34x6 hema safecp|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|opprima chardonay opt 34|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|opprima cabern opt 34|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto white osborne|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto warres warrior reserve|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto warres king s tawny|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto warre s otima 20 anos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto warre s otima 10 anos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto tawny botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto sandeman fine tawny|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto sandeman 40 anos tawny|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto ruby osborne|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto portal fine ruby|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto pintas vintage 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto osborne ruby caja de 6 botellas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto niepoort vintage 1987|??|r|??|??|??|1987|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto niepoort ruby|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto niepoort dry white|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|dry
W|vino|oporto niepoort 30 anos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto niepoort 20 anos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto meandro finest reserve|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto graham s six grapes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto graham s late botled vintage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto graham s late botled vintage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=24
W|vino|oporto graham s 40 anos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|oporto graham s 30 anos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
