W|vino|j stavek bodro 2020 cabernet sauvignon merlot dry round and cheeky bordeaux blend in another words bodro from moravia|fr|r|cabernet sauvignon|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|dry
W|vino|j moreau fils chablis|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|j bouchon reserva merlot 135 750cc|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|j bouchon reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|j bouchon reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=4
W|vino|j bouchon reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|j bouchon reserva carmenere 750cc|??|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|j bouchon reserva carmenere 13 750cc|??|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|j bouchon reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|j bouchon reserva cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|j bouchon reserva cabernet sauvignon 135 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|j bouchon reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|j bouchon mingre 2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|j bouchon granito cabernet sauvignon carmenere|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|j bouchon block series semillon|??|r|semillon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|j bouchon block series carmenere 750cc|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|j bouchon block series carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|j bouchon block series cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|j bouchon block series cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|j antonio ponce pino|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|izadi seleccion blanco do rioja|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|izadi seleccion blanco 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|izadi seleccion|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
