W|vino|flor de maig blanco capcanes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|flor de cristiari blanco b3|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|flor de albihar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|flia passadore joven tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|flia passadore joven cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|flia deicas preludio 2017 tinto|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|flia deicas atlantico sur tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|flia deicas atlantico sur sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|flia deicas atlantico sur rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|flia deicas atlantico sur pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|flia deicas atlantico sur cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|flia deicas atlantico sur albarino|??|w|albarino|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|flaherty petit syrah 750cc|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|flaherty ocoa carmenere 750cc|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|flaherty cauquenes ensamblaje 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|flaherty casa del magnolio ensamblaje 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|flaherty carmenere 750cc|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|flaherty cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|flaherty aconcagua ensamblaje 750cc|cl|r|??|aconcagua valley|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fizzy rose frizzante|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|fizzy blanco frizzante|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|fino viejisimo el franciscano|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|fino tio pepe|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|fino tio pepe|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry|=23
W|vino|fino tinto atitbera|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|fino solera 13|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|fino romate sherry|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|fino romate jerez|es|f|??|andalucia|jerez|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|fino quinta osborne|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
