W|vino|espumoso prospritz cinzano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso prosecco zonin botella|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso prosecco villa sandi il fresco|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso prosecco villa sandi il fresco|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=3
W|vino|espumoso prosecco riccadonna botella|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso prosecco riccadonna|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso prosecco riccadonna|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=6
W|vino|espumoso prosecco pinelli|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso prosecco pinelli|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=8
W|vino|espumoso prosecco pinelli|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=8
W|vino|espumoso prosecco pinelli|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=8
W|vino|espumoso prosecco mionetto rose botella|??|p|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso prosecco mionetto rose|??|p|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso prosecco mionetto rose|??|p|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=13
W|vino|espumoso prosecco mionetto brut glera|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso prosecco mionetto brut glera|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=15
W|vino|espumoso prosecco mionetto brut glera|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=15
W|vino|espumoso prosecco mionetto brut glera|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=15
W|vino|espumoso prosecco mionetto brut botella|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso prosecco mionetto brut botella|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=19
W|vino|espumoso prosecco millesimato doc extra dry terre di rai|??|s|glera|??|??|NV|11.5|doc|medio|aperitivos; frutos do mar|extra dry
W|vino|espumoso prosecco freixenet|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso prosecco doc italia|it|s|glera|??|??|NV|11.5|doc|medio|aperitivos; frutos do mar|??
W|vino|espumoso prosecco cinzano|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso prosecco cinzano|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=24
W|vino|espumoso prosecco brut doc zardetto|??|s|glera|??|??|NV|11.5|doc|medio|aperitivos; frutos do mar|brut
