W|vino|espumoso blanco rgny|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso blanco peterlongo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso blanco peterlongo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=2
W|vino|espumoso blanco nuit doree|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso blanco navarro correa extra brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra brut
W|vino|espumoso blanco navarro correa extra brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra brut|=5
W|vino|espumoso blanco jp spark brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso blanco jp spark brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=7
W|vino|espumoso blanco jp muscat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso blanco jp ice|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso blanco jaume reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso blanco jaume nature|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso blanco jaume ice 750ml69000|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso blanco jaume brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso blanco gran diamond|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso blanco gran brindis|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso blanco gran brindis|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=16
W|vino|espumoso blanco frizzantino|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso blanco frances paris de nuit brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso blanco cremant dalsace riesling brut arthur metz|??|s|riesling|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso blanco cinzano prose|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso blanco chuva prata|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso blanco chuva prata|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=22
W|vino|espumoso blanco chandon demi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso blanco calvet celebration brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso blanco brut nature|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut nature
W|vino|espumoso blanco brut nature|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut nature|=26
W|vino|espumoso blanco alteza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso black nuit doree|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso bisol valdobbiadene prosecco superiore|it|s|glera|veneto|valdobbiadene|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso bg chardonnay brutcuvee reservee 750|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|espumoso bg chardonnay brutcuvee reservee 750|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=31
W|vino|espumoso benvolio prosseco glera|??|r|glera|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso beni di batasiolo moscato|??|r|moscato|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|espumoso bellavista teatro alla scala brut blend|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso bellavista rose blend|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso bellavista grande cuvee alma rose blend|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso bellavista grande cuvee alma brut franciacorta italia|it|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso bellavista grande cuvee alma brut blend|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso belaire rare rose fantome led|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso belaire rare luxe fantome led|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso belaire rare luxe fantome led|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=41
W|vino|espumoso belaire rare luxe|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso belaire brut gold|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso bco francois motand ice|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso batasiolo moscato spumante rose|??|p|moscato|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|doce
W|vino|espumoso barrica de fuego caladoc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso baron rothberg rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso baron rothberg demisec blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec
W|vino|espumoso baron rothberg brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
