W|vinho|tinto portugues bacalhoa quatro ventos garrafa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues bacalhoa monte das anforas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues bacalhoa monte das anforas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=2
W|vinho|tinto portugues bacalhoa jp azeitao garrafa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues azul portugal tawny garrafa|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues azul portugal ruby garrafa|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues azul de ventozelo douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues atlantico regiao de alentejo safra 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues atlantico regiao de alentejo safra 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??|=8
W|vinho|tinto portugues atlantico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues asterisco jose maria da fonseca|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues asterisco jose maria da fonseca|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=11
W|vinho|tinto portugues art terra amphora|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues arcosso padrao dos povos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues arcos do convento importado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
X
W|vinho|tinto portugues andreza gran reserva doc douro|pt|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
X
W|vinho|tinto portugues almagrande reserva douro|pt|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues alma de lisboa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues allgodao importado original|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues alianca reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues alianca bairrada reserva garrafa|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues alianca bairrada reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues algarve al ria|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues alfacinha tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues alfacinha reserva regional lisboa|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues alento adega monte branco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues alentejo marques de borba|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues alentejo genese do baco herdade grande|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues alentejano sao miguel do sul|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues alentejano sao miguel do sul|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=31
W|vinho|tinto portugues alentejano members mark|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues alecrim segur estates|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues album reserva regional alentejo|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues album regional alentejo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues alandra rouge esporao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues alabastro reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues alabastro reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=38
W|vinho|tinto portugues alabastro quinta da terrugem bacalhoa garrafa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues alabastro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues adegamae touriga franca|??|r|touriga|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto portugues adegamae salino blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
