W|vinho|tinto niepoort museu dos lagares 2019 douro|pt|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto niepoort lagar de baixo 2021 bairrada|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto niepoort eduardos 2015 douro|pt|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto niepoort drink me nat cool 2023 bairrada|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto niepoort doda 2013|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto niepoort dialogo douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto niepoort dialogo douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=6
W|vinho|tinto niepoort dialogo douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=6
W|vinho|tinto niepoort dialogo douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=6
W|vinho|tinto niepoort dialogo 2023 douro|pt|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto niepoort dialogo 2022 douro|pt|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto niepoort conciso 2015 dao|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto niepoort conciso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto niepoort charme 2023 douro|pt|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto niepoort charme 2022 douro|pt|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto niepoort charme 2021 douro|pt|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto niepoort charme 2020 douro|pt|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto niepoort charme 2014 douro|pt|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto niepoort charme 2014 douro|pt|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??|=18
W|vinho|tinto niepoort bioma 2019 douro|pt|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto niepoort batuta magnum 2021 1 douro|pt|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto niepoort batuta 2023 douro|pt|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto niepoort batuta 2022 douro|pt|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto niepoort batuta 2022 douro|pt|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??|=23
W|vinho|tinto nicolas catena zapata malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto nicolas catena zapata cabernet sauvignonmalbec|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto nicolas catena zapata 2020 mendoza|ar|r|??|mendoza|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto nicola catena parcela bonarda 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto nicola bonarda catena|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto nicasia vineyards red blend malbec 2023|??|r|malbec|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto nicasia vineyards red blend malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto nicasia vineyards red blend cabernet franc cx6|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto nicasia vineyards red blend cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto nicasia vineyards red blend cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=33
W|vinho|tinto nicasia red blend cabernet franc 2023|??|r|cabernet franc|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto newk pedro parra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto newen grand vin 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto nero di troia terre carsiche puglia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
