W|vinho|tinto marques de murrieta reserva edicao especial com estojo laranja 2021 rioja espanha|es|r|??|rioja|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de murrieta reserva edicao especial 2017|??|r|??|??|??|2017|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de murrieta reserva 2021 rioja espanha|es|r|??|rioja|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de murrieta edicao especial 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de murrieta edicao especial|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de murrieta dalmau 2017 rioja espanha|es|r|??|rioja|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de marinalva selecao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de marialva grande reserva 2015 bairrada|??|r|??|??|??|2015|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de marialva grande reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de marialva garrafeira edicao comemoracao 65 anos 2001 bairrada|??|r|??|??|??|2001|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de marialva colheita selecionada 2021 bairrada|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de marialva colheita selecionada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de marialva baga reserva 2019 bairrada doc|??|r|??|??|??|2019|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de marialva baga reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de grinon seleccion especial crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de casa concha pinot noir 2019|??|r|pinot noir|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de casa concha malbec 2019|??|r|malbec|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de casa concha carmenere 2019|??|r|carmenere|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de caceres crianzano pixno boletoem ate3xdesem juroscomprar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de caceres crianza rioja|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de caceres crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de borba vinhas velhas 2023 doc alentejo|??|r|??|??|??|2023|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de borba reserva 2017 alentejo|??|r|??|??|??|2017|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de borba colheita alentejo doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de borba colheita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de borba 2024 alentejo|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de borba|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marques de borba|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=27
W|vinho|tinto marques de borba|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=27
W|vinho|tinto marques de borba|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=27
W|vinho|tinto marques dalmeida carm 2017 beira interior|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marotti campi orgiolo lacrima di morro dalba doc superiore|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marmelar 2019 alentejo|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marius by michel chapoutier|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marius by michel chapoutier|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=34
W|vinho|tinto marius by michel chapoutier|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=34
W|vinho|tinto marius bielle lalande de pomerol 2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marius bielle lalande de pomerol 2011|??|r|??|??|??|2011|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto marius bielle lalande de pomerol 2008|??|r|??|??|??|2008|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maritavora no6 classico 2019 douro|pt|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto maritavora no2 grande reserva 2017 douro|pt|r|??|??|??|2017|13.5|reserva|medio|carnes vermelhas; queijos curados|??
