W|vinho|tinto la celia pioneer reserva cabernet franc|??|r|cabernet franc|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto la celia heritage malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto la cautiva oleo malbec 2019|??|r|malbec|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto la capitana reserva cabernet franc 2020|??|r|cabernet franc|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto la calade cotes du rhone 2023|fr|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto la caccioatora nero d avola|??|r|nero d avola|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto la cacciatora primitivo tarantino|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto la brunotte cairanne rouge 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto la brunote cairanne rouge 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto la bicicleta voladora crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto la belle de jourcomprar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto la belle de jour|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto la belle de jour|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=12
W|vinho|tinto la baronne reserva premium wine|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto la 3g vin de france 2022|fr|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto kung fu malbec riccitelli|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto kumala shiraz 2021|??|r|shiraz|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto kumala pinotage 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ksara reserva du covent|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ksara le prieure|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ksara cuvee de printemps|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto koyle royale syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto koyle royale carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto koyle royale cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto koyle reserva organico carmenere tinto|??|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto koyle cuvee los lingues syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto koyle cuvee los lingues carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto kosher syrah yarden|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto kosher pinot noir gamla|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto kosher casa di luigi carmenre|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto kosher cabernet sauvignon yarden|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto kosher cabernet sauvignon casa di luigi|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto kopke vinhas velhas 2018 douro|pt|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto kopke sao luiz reserva 2023 douro|pt|r|??|??|??|2023|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto kopke sao luiz 2023 douro|pt|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto kompassus reserva 2021 bairrada doc|??|r|??|??|??|2021|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto kompassus reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto kompassus private collection 2017 bairrada|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto kompassus colheita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto kompassus baga vinhas velhas private collection|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto kleinkloof mountain red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto kirchberg gg spatburgunder pinot noir 2019|??|r|pinot noir|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto killermans run shiraz kilikanoon|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto killer drop red 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto kilikanoon killermans run|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto kidia reserva carmenere 2018|??|r|carmenere|??|??|2018|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto kidia gran reserva carmenere 2018|??|r|carmenere|??|??|2018|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto kidia gran reserva cabernet sauvignon 2019|??|r|cabernet sauvignon|??|??|2019|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto khayyam vin de france 2023|fr|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto key blend 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto key blend 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??|=50
W|vinho|tinto kendalljackson vintners reserve zinfandel 2020 north coast california eua|us|r|zinfandel|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto kendalljackson vintners reserve zinfandel 2015 california eua|us|r|zinfandel|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
