W|vinho|tinto franca ferraton las tournee|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto franca ferraton cotes du rhone samorens|fr|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto franca domaine haut de valent pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto franca chateau du grand puch blend de uvas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto franca calvet varietales pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto franca calvet varietales merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto franca calvet varietales cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto franca albert bichot macon rouge gamay|??|r|gamay|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto franca albert bichot horizon pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto franca albert bichot cest la vie rouge|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto franc de pied saumurchampigny 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto franc de pied saumur champigny 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto framingham pinot noir 2020 nova zelandia|??|r|pinot noir|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fraga alta 2004 douro|pt|r|??|??|??|2004|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto foz torto vinhas velhas 2019 douro|pt|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto foz torto 2019 douro|pt|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto foye reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto foye carmenere reserva 2022|??|r|carmenere|??|??|2022|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto foye cabernet sauvignon reserva 2022|??|r|cabernet sauvignon|??|??|2022|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto foye cabernet sauvignon gran reserva 2022|??|r|cabernet sauvignon|??|??|2022|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto founders reserve don maximiano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto founders reserve don maximiano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=21
W|vinho|tinto fortissimo alentejano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fortissimo alentejano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=23
