W|vinho|tinto escudo rojo gran reserva carmernere|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escudo rojo gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escudo rojo gran reserva blend|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escudo rojo gran reserva blend|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=3
W|vinho|tinto escorihuela pequenas producciones syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escorihuela pequenas producciones malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escorihuela pequenas producciones cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escorihuela pequenas producciones cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escorihuela meg malbec cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escorihuela gascon syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escorihuela gascon syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=10
W|vinho|tinto escorihuela gascon pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escorihuela gascon pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=12
W|vinho|tinto escorihuela gascon pequenas producciones syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escorihuela gascon pequenas producciones syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=14
W|vinho|tinto escorihuela gascon pequenas producciones malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escorihuela gascon pequenas producciones malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=16
W|vinho|tinto escorihuela gascon pequenas producciones cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escorihuela gascon pequenas producciones cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=18
W|vinho|tinto escorihuela gascon pequenas producciones cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escorihuela gascon pequenas producciones cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=20
W|vinho|tinto escorihuela gascon organic vineyards malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escorihuela gascon organic vineyards malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=22
W|vinho|tinto escorihuela gascon organic vineyard malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escorihuela gascon meg malbec sauvignon|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escorihuela gascon meg malbec sauvignon|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=25
W|vinho|tinto escorihuela gascon malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escorihuela gascon malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=27
W|vinho|tinto escorihuela gascon malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=27
W|vinho|tinto escorihuela gascon gran reserva malbec 2023|??|r|malbec|??|??|2023|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escorihuela gascon gran reserva malbec 2021|??|r|malbec|??|??|2021|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escorihuela gascon gran reserva malbec|??|r|malbec|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escorihuela gascon gran reserva malbec|??|r|malbec|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=32
W|vinho|tinto escorihuela gascon gran reserva malbec|??|r|malbec|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=32
W|vinho|tinto escorihuela gascon gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escorihuela gascon gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=35
W|vinho|tinto escorihuela gascon don malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escorihuela gascon don malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=37
W|vinho|tinto escorihuela gascon cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escorihuela gascon cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=39
W|vinho|tinto escorihuela familia gascon tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escorihuela familia gascon syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escorihuela familia gascon malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escorihuela familia gascon malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=43
W|vinho|tinto escorihuela familia gascon cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escorihuela don malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escadas infinitas reserva 2021 douro|pt|r|??|??|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escadas infinitas 2021 douro|pt|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escadas infinitas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto escadas infinitas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=49
W|vinho|tinto escadas infinitas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=49
W|vinho|tinto es vino virgin soils es vino virgin soils syrah argentina 2020|ar|r|syrah|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto es vino virgin soils es vino virgin soils malbec argentina 2020|ar|r|malbec|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto es vino virgin soils es vino virgin soils cabernet sauvignon argentina 2019|ar|r|cabernet sauvignon|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto es vino virgin soils es vino virgin soils cabernet franc argentina 2020|ar|r|cabernet franc|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto es vino es vino cabernet sauvignon argentina 2019|ar|r|cabernet sauvignon|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto errazuriz collection carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ernesto catena alma negra 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ermelinda reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto erasmo valle del maule|cl|r|??|maule valley|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto era dos ventos teroldego safra 2021 bento goncalves rs brasil|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto equis pais garnacha 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto epu almaviva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto epicuro primitivo di manduria dop|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto epicuro annata roma doc 2018|??|r|??|??|??|2018|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto epico ix guatambu|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto epico guatambu|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto epica reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto epica cabernet sauvignon reserve|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto eon 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto envelope|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto entusiasta palhete 2021 regional minho|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto entre vinhas grande reserva 2017 beira interior|??|r|??|??|??|2017|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto entre rios terras altas terroir syrah 2021|??|r|syrah|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto entalhe intento|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto enrique foster single vineyard los barrancos malbec 2018|??|r|malbec|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto enrique foster bonarda 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto enoport reserva romeira alentejo lisboa|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto enoport catedral reserva dao doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto enigmatico italiano asio otus|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto encostas intimista|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto encostas do trogao reserva 2018|??|r|??|??|??|2018|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto encostas do trogao 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto encostas do enxoe reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto encostas do enxoe|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto encostas do coa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto encostas de pias reserva private selection alentejo|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto encostas de lisboa 2019 regional lisboa|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
