W|thomas barton|saintemilion aoc|fr|r|??|bordeaux|saint-emilion|NV|14.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|thomas barton|medoc aoc|fr|r|??|bordeaux|medoc|NV|14.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|thomas barton|graves blanc aoc|fr|r|??|bordeaux|graves|NV|14.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|thomas barton|bordeaux|fr|r|??|bordeaux|??|NV|14.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|thomas barton|bordeaux|fr|r|??|bordeaux|??|NV|14.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco|=8
W|thera|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|the grill master|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|the grill master|malbec tinto|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|the grill master|fan club malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|the franq|rouge cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|thasos|moscatel de setubal doc|pt|w|moscatel|setubal|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|tesporao|reserva|pt|r|??|douro|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|tesouro da vinha|tinto|pt|r|??|tejo|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|terrunyo|cabernet sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|terrazas|syrah|ar|r|syrah|mendoza|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|terrazas|merlot|ar|r|merlot|mendoza|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|terrazas|malbec rose|ar|p|malbec|mendoza|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|terrazas|malbec|ar|r|malbec|mendoza|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|terrazas|malbec|ar|r|malbec|mendoza|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=22
W|terrazas|chardonnay|ar|w|chardonnay|mendoza|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|terrazas|cabernet sauvignon|ar|r|cabernet sauvignon|mendoza|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|terrazas|cabernet sauvignon|ar|r|cabernet sauvignon|mendoza|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=25
W|terrazas de los andes|malbec|ar|r|malbec|mendoza|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|terrazas de los andes|chardonnay|ar|w|chardonnay|mendoza|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|terrazas de los andes|grand malbec|ar|r|malbec|mendoza|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|terrazas de los andes|grand chardonnay|ar|w|chardonnay|mendoza|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|terras del rei|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|terras del rei|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=31
W|terras del rei|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=31
W|terras del rei|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=31
W|terras de xisto|tinto|pt|r|??|douro|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|terras de viriato|dao doc tinto|pt|r|??|dao|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|terras de viriato|dao doc tinto|pt|r|??|dao|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|terras de galveias|colheita|pt|r|??|alentejo|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|terras de cartaxo|doc do tejo|pt|r|??|tejo|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|terras de cartaxo|branco|pt|w|??|tejo|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
