W|rose|cabriz|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|cabrita 2022 regional algarve|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|cabochard rose 2020|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|cabo da roca syrah 2019|??|p|syrah|??|??|2019|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|cabo da roca syrah 2019|??|p|syrah|??|??|2019|12.5|??|medio|saladas, sushi, petiscos|seco|=8
W|rose|cabo da roca reserva syrah 2017|??|p|syrah|??|??|2017|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|cabo da roca reserva syrah 2017|??|p|syrah|??|??|2017|12.5|Reserva|medio|saladas, sushi, petiscos|seco|=10
W|rose|cabernet sauvignon rosilho sertania|??|p|cabernet sauvignon|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|cabernet franc valmarino|??|p|cabernet franc|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|cabernet franc tres palacios|??|p|cabernet franc|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|cabernet franc reserva uruguaio gimenez mendez|??|p|cabernet franc|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|cabernet franc gran reserva tres palacios|??|p|cabernet franc|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|cabernet franc gran reserva tres palacios|??|p|cabernet franc|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco|=16
W|rose|cabernet franc gran reserva tres palacios|??|p|cabernet franc|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco|=16
W|rose|cabeca de toiroreserva|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|ca lunghetta pinot grigio|??|p|pinot grigio|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|c de cabriz terras da beira kit 4 garrafas|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|c de cabriz terras da beira 3 und|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|c de cabriz terras da beira|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|c de cabriz terras da beira|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=23
W|rose|c de cabriz 2019 dao|pt|p|??|dao|??|2019|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|bugalha douro|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
