W|rapariga da quinta colheita seleccionada|seleccionada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rapariga da quinta colheita|rose 1x|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rapariga da quinta|branco 1x|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|rapariga da quinta|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|rapariga da quinta|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=8
W|rapariga da quinta 1x|1x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|randon|tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|randon|tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramos|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|ramos pinto vintage|2020 0 caixa madeira|??|f|palomino|??|??|2020|13.5|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|ramos pinto vintage|2017 0 caixa madeira|??|f|palomino|??|??|2017|13.5|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|ramos pinto urtiga|tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramos pinto urtiga|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramos pinto quinta ervamoira|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramos pinto|porto lagrima doce|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|ramos pinto lagrima ruby docura e intensidade|intensidade|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramos pinto lagrima|branco 0 com estojo|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|ramos pinto ervamoira 10 anos 0|0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramos pinto bom retiro 20 anos 0|0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramon roqueta tempranillo|tinto|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramon roqueta|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|ramon roqueta garnacha|garnacha|??|r|garnacha|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramon roqueta crianza|tinto|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramon roqueta crianza|2018 tinto espanha|??|r|??|??|??|2018|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramon roqueta colleccio privada insignia|insignia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramon bilbao vinedos de altura|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramon bilbao vinedos de altura|altura|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramon bilbao vinedos de altura|altura|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=31
W|ramon bilbao verdejo rueda|rueda|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|ramon bilbao verdejo|verdejo|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|ramon bilbao rueda sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|ramon bilbao|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|ramon bilbao|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|ramon bilbao|safra 2018 espanhol mega oferta|??|r|??|??|??|2018|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|ramon bilbao|safra 2018 espanhol mega oferta|??|r|??|??|??|2018|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=38
W|ramon bilbao|1x|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|ramon bilbao mirto|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ramon bilbao mirto safra|2018 espanhol mega oferta|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
