W|portugues 2 flores|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues 10 anos|porto taylors|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|portugues|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugue casa ferreirinha esteva|esteva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portuges grandjo|branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|portuges encostas|do minho alvarinho|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugal trevo da sorte|porto tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugal trevo da sorte|porto ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugal titular colheita|dao doc tinto|pt|r|??|dao|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugal territorio casa santos|branco seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugal territorio casa santos|branco seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=14
W|portugal rotas de portugal seco verde|verde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugal regional alentejano herdade paco|do conde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugal regia colheita|blend premium carmim tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugal regia colheita alantejo carmim|branco|pt|w|??|tejo|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|portugal moxo real|rose beira interior doc|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugal galo nobre|doc beira interior branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugal|fino tinto seco herdade paco do conde syrah|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|portugal encostas|do coa tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugal encosta das perdizes|perdizes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugal colinas de lisboa casa santos|tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|portugal casa ferreirinha papa figo|douro branco seco|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|portugal bonde eletrico|tinto red wine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porttable tawny|port|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portrugues quinta da foz|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portocais tawny|tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portocais ruby|ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|warres vintage 2017 075|??|f|palomino|??|??|2017|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|warres vint2003 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|warres vint2000 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|warres kings tawny tinto portugal|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|vista alegre tawny 50 anos 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|vista alegre tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|vista alegre ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|vista alegre reserve ruby 0375|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|vintage alves sousa|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|vintage alves de sousa|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|vieira campos bco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|vieira campos bco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=42
W|porto|verdelho 10 anos henriques henriques|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|velhotes tawny 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|velhotes ruby 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|velhotes branco 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|valriz vintage|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|valriz ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|valriz 40 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|valriz 30 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|valriz 20 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|valriz 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|valriz 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=53
W|porto|vallado white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|vallado vintage 2018 075|??|f|palomino|??|??|2018|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|vallado vintage 2016 075|??|f|palomino|??|??|2016|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|vale dmaria over 40 y old tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|vale d maria 20 y old tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|valdouro tawny|pt|f|palomino|douro|??|NV|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|valdouro ruby|pt|f|palomino|douro|??|NV|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|valdouro ruby|pt|f|palomino|douro|??|NV|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=61
W|porto|valdouro 10 years old|pt|f|palomino|douro|??|NV|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|valdourado porto ruby 1x|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|tinto warres vintage|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|tinto calem velhotes|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors vintage vargellas vinha velha 2004 raro|??|f|palomino|??|??|2004|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors vintage 2018 1|??|f|palomino|??|??|2018|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors vintage 2018 075|??|f|palomino|??|??|2018|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors vintage 2018 0375|??|f|palomino|??|??|2018|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors vintage 2017 1|??|f|palomino|??|??|2017|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors vintage 2017 075|??|f|palomino|??|??|2017|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors vintage 2017 0375|??|f|palomino|??|??|2017|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors vintage 2003 in space 075|??|f|palomino|??|??|2003|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors vintage 1994|??|f|palomino|??|??|1994|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors vint2009 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors vint2003 0375|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors vint1994 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors vinhot vargellas|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
X
W|porto|taylors very old tawny hm queen elizabeth ii platinum jubilee 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors very old tawny 50 anos 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors very old single harvest 1975 075|??|f|palomino|??|??|1975|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors vargvint2004 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors vargvint2001 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors vargellas vintage vinhas velhas 1997 taylors|??|f|palomino|??|??|1997|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors vargellas vintage 2022 075|??|f|palomino|??|??|2022|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|taylors vargellas vintage 2015 075|??|f|palomino|??|??|2015|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
