W|pedra cancela touriga nacional|rose 2018|??|p|??|??|??|2018|12.5|??|medio|saladas, sushi, petiscos|seco
W|pedra cancela touriga nacional|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|pedra cancela touriga nacional|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=6
W|pedra cancela touriga nacional|dao rose|pt|p|??|dao|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|pedra cancela|tinto selecao do enologo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pedra cancela terrantez|branco 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|pedra cancela signature|tinto 2014|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pedra cancela selecao|do enologo tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pedra cancela selecao|do enologo tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=12
W|pedra cancela selecao|do enologo dao tinto 2019|pt|r|??|dao|??|2019|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|pedra cancela selecao|do enologo dao tinto 2018|pt|r|??|dao|??|2018|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|pedra cancela selecao|do enologo dao branco|pt|w|??|dao|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|pedra cancela selecao|do enologo dao|pt|r|??|dao|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|pedra cancela selecao|do enologo branco dao 2019|pt|w|??|dao|??|2019|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|pedra cancela selecao|do enologo branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|pedra cancela selecao|do enologo branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=19
W|pedra cancela selecao|do enologo 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pedra cancela|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pedra cancela|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=22
W|pedra cancela|dao branco|pt|w|??|dao|??|NV|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|pedra cancela malvasia preta|tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pedra cancela luzidio|branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
