W|nacional aurora pinto bandeira chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|nacional aurora pinot noir p bandeira|bandeira|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nacional aurora merlot|tinto seco|??|r|merlot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|nacional aurora|tannat|??|r|tannat|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|nacional aurora|gran res cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nacional aurora colheita tardia|suave branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|nacional aurora colheita tardia cabernet sauvignon|suave tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|nacional aurora cabernet sauvignon desalcoolizado 0 alcool|tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nacional arroio|branco suave de mesa|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|nacional arbo tannat|tinto seco|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nacional arbo riesling|branco seco|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|nacional arbo moscato|branco seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|nacional arbo merotl|tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nacional arbo merlot|tinto seco|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nacional arbo merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nacional arbo marselan|tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nacional arbo cabernet sauvignon|tinto seco|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nacional arbo cabernet sauvignon|tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nacional arbo cabernet sauvignon merlot|merlot|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nacional arbo cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|nacional almaden ugni blanc|suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|nacional almaden|tinto cabernet suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
