W|luiz|porto gran reserva syrah|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|luiz|porto dom de minas cabernet franc 2016|??|f|palomino|??|??|2016|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|luiz argenta terroir xxvii|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|luiz argenta terroir xxvii chardonnayviognier|2025 ip|??|w|chardonnay|??|??|2025|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|luiz argenta|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|luiz argenta linha jovem|rose 1x|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|luiz argenta la jovem ripiano|ripiano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|luiz argenta la|classico chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|luiz argenta jovem sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|luiz argenta jovem sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=13
W|luiz argenta jovem|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|luiz argenta|cuvee|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|luiz argenta corte cave|cave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|luis pato vinhas velhas|branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|luis pato vinhas velhas|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|luis canas|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|luis canas|rioja reserva|es|r|??|rioja|??|NV|14.5|DOCa|encorpado|carnes vermelhas, massas, queijos curados|seco
W|luis canas|rioja reserva|es|r|??|rioja|??|NV|14.5|DOCa|encorpado|carnes vermelhas, massas, queijos curados|seco|=21
W|luis canas|da familia|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|luis canas crianza|crianza|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|luis canas|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
