W|fugue de nenin|aoc pomerol 2013|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|fronteira|douro tinto|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|fronteira|douro tinto|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco|=6
W|fronteira|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|fronteira|douro doc tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|fronteira|douro branco|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|frizante linda donna lambrusco|branco suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|fritz haag brauneberger juffer sonnenuhr riesling auslese|branco 2012|??|w|riesling|??|??|2012|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|fritz haag brauneberger juffer sonnenuhr riesling auslese|branco 2010|??|w|riesling|??|??|2010|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|frisante salton lunae|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|frisante salton lunae|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|frisante salton lunae bco|bco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|frisante salton lunae bco|bco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=16
W|frisante|saint germain branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|frisante|rose suave|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec
W|frisante|rose mayos pink|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|frisante|rose mayos pink|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=20
W|frisante|rose demisec|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|frisante|rose casa valduga naturelle|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|frisante natural somm muscat lata|lata|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|frisante mosketto|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|frisante mosketto|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=25
W|frisante mayos pink|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|frisante mayos green|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|frisante macaw tropical|rose suave|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec
W|frisante macaw tropical|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|frisante lambrusco villa fabrizia|tinto amabile|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|frisante lambrusco villa fabrizia|branco amabile|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|frisante lambrusco dell emilia kit 6 garrafas|garrafas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|frisante garibaldi relax|rose suave|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec
W|frisante garibaldi relax|rose suave|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec|=34
W|frisante garibaldi relax|branco demisec|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|frisante garibaldi relax|branco demisec|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=36
W|frisante donnatella|rose suave|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec
W|frisante donnatella|branco suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|frisante dolce vita|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|frisante dolce vita moscatel|rose lata|??|p|moscatel|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|frisante dolce vita moscatel lata|lata|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|frisante dolce vita|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|frisante del grano|rose suave|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec
W|frisante del grano|rose suave|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec|=44
W|frisante del grano|branco suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|frisante|branco suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|frisante|branco mayos green|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|frisante|branco mayos green|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=48
W|frisante|branco demisec|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|frisante bacio della luna|luna|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|frisante almaden|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|frisante almaden moscatel|rose|??|p|moscatel|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|frisante almaden moscatel|rose|??|p|moscatel|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=53
W|frisante almaden moscatel|rose|??|p|moscatel|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=53
W|frisante almaden moscatel blanc|blanc|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|frisante almaden|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|frisante|frisante|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|frescobaldi nipozzano riserva|chianti rufina|it|r|??|toscana|chianti|NV|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco
W|freixenet zero alcool|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|freixenet|rosado 1x|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|freixenet|rosado|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|freixenet|rosado|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=62
W|freixenet|rioja do tinto|es|r|??|rioja|??|NV|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|freixenet|rioja do tinto|es|r|??|rioja|??|NV|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco|=64
W|freixenet red|blend sem alcool|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|freixenet primitivo|tinto|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|freixenet pinot grigio|doc|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|freixenet pinot grigio|doc|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=68
W|freixenet pinot grigio|doc|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=68
W|freixenet pinot grigio|doc|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=68
W|freixenet pinot grigio|branco|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|freixenet moscato|branco suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|freixenet moscato|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|freixenet moscato|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=74
W|freixenet italian|rose 1x|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|freixenet italian|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|freixenet italian|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=77
W|freixenet italian|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=77
W|freixenet italian|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=77
W|freixenet italian|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=77
W|freixenet italian|chianti docg|it|r|??|toscana|chianti|NV|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco
W|freixenet desalcoolizado|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|freixenet desalcoolizado|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
