W|camino de|chile limited edition|cl|r|??|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|camino de|chile limited edition|cl|r|??|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=5
W|camino de|chile chardonnay reserva|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|camino de|chile chardonnay reserva|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=7
W|camino de|chile chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|camino de|chile chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=9
W|camino de|chile carmenere reserva|cl|r|carmenere|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|camino de|chile carmenere reserva|cl|r|carmenere|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=11
W|camino de|chile carmenere gran reserva|cl|r|carmenere|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|camino de|chile carmenere gran reserva|cl|r|carmenere|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=13
W|camino de|chile carmenere|cl|r|carmenere|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|camino de|chile carmenere|cl|r|carmenere|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=15
W|camino de|chile cabernet sauvignon reserva|cl|r|cabernet sauvignon|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|camino de|chile cabernet sauvignon reserva|cl|r|cabernet sauvignon|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=17
W|camino de|chile cabernet sauvignon gran reserva|cl|r|cabernet sauvignon|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|camino de|chile cabernet sauvignon gran reserva|cl|r|cabernet sauvignon|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=19
W|camino de|chile cabernet sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|camino de|chile cabernet sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=21
W|camino de|chile cabernet sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=21
W|camino de|chile cabernet sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=21
W|caminhante|rose 2022|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
X
X|=26
W|camigliano|tinto brunello di montalcino|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|camigliano rosso di montalcino|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|camigliano rosso di montalcino|montalcino|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|camigliano poderuccio|poderuccio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|camigliano|chianti colli senesi|it|r|??|toscana|chianti|NV|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco
W|camigliano brunello di montalcino paesaggio inatteso|inatteso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|camigliano brunello di montalcino gualto|docg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|camigliano brunello di montalcino|montalcino|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|camigliano brunello di montalcino|montalcino|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=35
W|came forli|igp cabernet merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cambas mavrodaphne of patras|tinto doce|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|camarcanda magari|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calza 7 clones cabernet franc|franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calvet varietals sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|calvet varietals sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=41
W|calvet varietals pinot noir|2020|??|r|pinot noir|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calvet varietals pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calvet varietals merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calvet varietals cinsault|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|calvet varietals cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|calvet sauvignon blanc|2017|??|w|sauvignon blanc|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|calvet|rose danjou rose franca 4|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|calvet|rose danjou rose franca 2|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|calvet|rose danjou rose franca 1|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|calvet|rose danjou rose 1x|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|calvet|rose danjou|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|calvet|rose d anjou|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|calvet prestige cotes du rhone|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
