W|branco|von winning weisser burgunder imperial 2021 alemanha|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|von winning ungeheuer gg 2021 alemanha|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|von winning sauvignon blanc ii 2022 alemanha|??|w|sauvignon blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|von winning sauvignon blanc i 2019 alemanha|??|w|sauvignon blanc|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|von winning forster 2022 alemanha|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|von winning drache riesling 2022 alemanha|??|w|riesling|??|??|2022|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|von winning deidesheimer leinhohle 2021 alemanha|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vol i dol do catalunya|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|voga pinot grigio delle venezie doc|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vivalti alvarinho 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|viura casa solar|??|w|viura|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vital reserva 2022|??|w|??|??|??|2022|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|vistamare gaja|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vistamar brisa sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vistamar brisa chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vistalba chardonnay luigi bosca|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vista calma torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vista calma torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=21
W|branco|vista calma chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vista calma chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=23
W|branco|visconde borba reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|visconde borba|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|viognierverdelho 2019 campolargo|??|w|viognier|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|viognier terroir exclusivo casa valduga|??|w|viognier|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|viognier reserva paul mas|??|w|viognier|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|viognier les acolytes vignobles and compagnie|??|w|viognier|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|viognier da malhadinha vinha dos eucaliptos 2021 alentejo|pt|w|viognier|alentejo|??|2021|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|viognier amitie|??|w|viognier|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|viognier 2024|??|w|viognier|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vinicola cainelli lorena barricado|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vinhos imperfeitos i 2018 dao|pt|w|??|dao|??|2018|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|vinhos imperfeitos 2018 vinhos verdes|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vinhos da arrabida sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vinhas velhas tiago cabaco 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vinhas velhas branco bairrada 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vinhas de camarate|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vinhas de camarate|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=40
W|branco|vinhas de camarate|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=40
W|branco|vinhas da teixuga dao|pt|w|??|dao|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|vinhas ao norte quinta dos castelares 2020 doc douro portugal rabigato viosinho e gouveio mineralidade frescor e equilibrio|pt|w|??|douro|??|2020|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|vinha paz reserva 2015 dao|pt|w|??|dao|??|2015|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|branco|vinha paz 2019 dao|pt|w|??|dao|??|2019|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|vinha padre pedro 2023 tejo|pt|w|??|tejo|??|2023|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|vinha mor vinhos verdes doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vinha grande 2019 douro|pt|w|??|douro|??|2019|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|branco|vinha dos utras 2020 ilha do pico|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vinha dos aards criacao velha 1os jeiroes 2020 do pico|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vinha do mouro 2022 alentejo|pt|w|??|alentejo|??|2022|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|vinha do lomedo siria 2022 doc beira interior|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vinha do furo reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|vinha do furo|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vinha do contador grande juri nobre dao|pt|w|??|dao|??|NV|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|branco|vinha do contador 2014 dao|pt|w|??|dao|??|2014|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|vinha do aqueduto premium casa ermelinda de freitas|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vinha do aqueduto fernao pires|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vinha dervideira vinha da familia 2023 alentejo|pt|w|??|alentejo|??|2023|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|vinha de felgueiras arinto vinho verde doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vinha das virtudes humanitas reserva 2020 regional alentejano|??|w|??|??|??|2020|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|vinha das lebres reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|vinha da valentina sauvignon blanc d ermelinda|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vinha da valentina chardonnay d ermelinda|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vinha da urze reserva 2023 douro|pt|w|??|douro|??|2023|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|branco|vinha da urze carm 2024 douro|pt|w|??|douro|??|2024|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|vinha da urze|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vinha da foz 2024 douro|pt|w|??|douro|??|2024|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|vinas viejas luis canas|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vinas del tango varietal chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vinas del tango chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vinas de anna do catalunya|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vinas de anna do catalunya|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=73
W|branco|vinas argentinas selected harvest torrontes 2022|ar|w|??|mendoza|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vinas argentinas selected harvest chardonnay 2022|ar|w|chardonnay|mendoza|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vina toldos sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|vina cobos felino chardonnay 2024 136|??|w|chardonnay|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vina casas del bosque riesling botanic series|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vina casas del bosque reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|vina calera rueda|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vina albali jovem|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vin de france pur blanc 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vin de france chardonnay les glapigny 2018|??|w|chardonnay|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vin de corse blanc 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|vin chardonnay bueno wines wine skin|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|villebois poully fume|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|villard sauvignon blanc reserve expresion|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|villard reserve expresion chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|villard arganat chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|villaggio grando sauvignon blanc 2020|??|w|sauvignon blanc|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|villaggio grando sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|villaggio grando legato chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|villaggio grando chardonnay 2019|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
