W|branco|kendalljackson vintners reserve chardonnay 2021 california eua|??|w|chardonnay|??|??|2021|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|kendalljackson vintners reserve chardonnay 2020 california eua|??|w|chardonnay|??|??|2020|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|kelman encruzado 750 mldetalhes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|kelman encruzado|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|kelman encruzado|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=8
W|branco|kelman encruzado|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=8
W|branco|kasta douro|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|kaputt segunda edicao douro|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|kaputt curtimenta vinho laranja 2019 douro|pt|w|??|douro|??|2019|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|kaputt 2a edicao douro|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|kangaroo ridge chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|kalfu gran reserva kuda sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|kaipu chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|kaiken wines ultra chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|kaiken wines indomito chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|kaiken wines estate sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|kaiken estate chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jurupinga licoroso|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|jurupinga dinalle lata|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
