W|branco|finca rivadavia torrontes varietal|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|finca montepedroso|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|finca flichman chadonnay|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|finca agostino uma winemaker chardonnay viognier|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|finca agostino uma winemaker chardonnay viognier|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=8
W|branco|finca agostino uma wine bar chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|finca agostino uma wine bar chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=10
W|branco|filos chardonnay luigi bosca|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|fiee des lois petit chablis aop|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|fiee des lois petit chablis aop|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=13
W|branco|fiee des lois petit chablis aop|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=13
W|branco|fiee des lois chablis aop|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|fiee des lois chablis aop|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=16
W|branco|fiee des lois chablis aop|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=16
W|branco|fiano sannio dop safra 2021|??|w|fiano|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|fiano igp masseria santa maria|??|w|fiano|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|feudi di san gregorio lacryma christi del vesuvio|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
