W|branco|chileno dona paula los cardos sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno dona paula estate sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno dona dominga reserva sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno dona dominga reserva chardonnay garrafa|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno don silvestre sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno dinamo sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno delviento sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno de martino ungrafted muscat|cl|w|??|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno de martino ungrafted muscat|cl|w|??|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=12
W|branco|chileno de martino legado chardonnay gran reserva|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno de martino chardonnay reserva|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno de martino 347 chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno cremaschi brisas del valle pinot grigio|cl|w|pinot grigio|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno cono sur sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno cono sur reserva sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno cono sur reserva sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=19
W|branco|chileno cono sur reserva chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno cono sur reserva chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=21
W|branco|chileno cono sur bicicleta viognier|cl|w|viognier|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno cono sur bicicleta sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno concha y toro reservado spritzer moscato|cl|w|??|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno classic series chardonnay vina montes|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno chilano sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno chilano moscato|cl|w|??|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno chateau los boldos tradition chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno chardonnay selection errazuriz|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno chardonnay reserva errazuriz|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno chardonnay ola po|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno chardonnay leyda|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno chardonnay gran canto andino|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno chardonnay carmen 1850 premier|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno chaka sauvignon blanc seco|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno chaka chardonnay seco|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno cepas nobles reservado sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno cepas nobles reservado sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=38
W|branco|chileno cepas nobles reserva chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno cepas nobles chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno cefiro cool reserva sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno cavanza chardonnay|cl|s|chardonnay, pinot noir|valle central|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|branco|chileno casillero del diablo sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno casillero del diablo sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=44
W|branco|chileno casillero del diablo reserva especial sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno casillero del diablo reserva|cl|w|??|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno casillero del diablo blanc de cabernet|cl|w|??|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno casillero del diablo blanc cabernet|cl|w|??|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno casas del toqui coastal mist sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno casas del maipo sauvignon blanc seco|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno casas del maipo reserva chardonnay seco|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno casas del maipo chardonnay seco|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno casas del bosque gran reserva chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno casas del bosque collection sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno casas del bosque collection chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno casas del bosque botanic series sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno casas del bosque botanic series riesling|cl|w|riesling|valle central|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno casas del bosque botanic series chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno casa viva sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno casa viva chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno casa silva sauvignon gris 1912|cl|w|??|valle central|??|1912|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno casa silva cinco manos gran reserva chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno casa silva cinco manos estate reserva chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno casa silva cinco manos classic sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno casa mateo sauvignon blanc garrafa|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno carta vieja reservado sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno carta vieja reservado sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=67
W|branco|chileno carta vieja limited release chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno carta vieja chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chileno carolina reserva chardonnay 2023|cl|w|chardonnay|valle central|??|2023|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno carolina reserva chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno carolina gran reserva sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno carmen gran reserva chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chileno carmen gran reserva chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=74
