W|branco|bons ventos fresh kit 4 garrafas|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bons ventos fresh 3 und|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bons ventos fresh 3 und|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=6
W|branco|bons ventos fresh|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bons ventos fresh|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=8
W|branco|bons ventos fresh|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=8
W|branco|bons ventos|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bons ares douro|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|bons ares 2024 douro|pt|w|??|douro|??|2024|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|bons ares|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bonacchi pinot grigio toscana igt|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bom malandro 2024 doc douro|pt|w|??|douro|??|2024|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|bolla soave classico doc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bolla pinot grigio delle venezie doc|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bolla pinot grigio delle venezie doc|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=18
W|branco|boina douro|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|boina 2021 douro|pt|w|??|douro|??|2021|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|boina 2019|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bodegas paniza fabula garnacha blanca|??|w|garnacha|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bodegas leganza quintana blanc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|bodegas eguren reinares viura|??|w|viura|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
