W|veuve du vernay|brut rose|fr|p|??|??|??|NV|12|??|medio|saladas, sushi, petiscos|seco
W|veuve du vernay|brut rose|fr|p|??|??|??|NV|12|??|medio|saladas, sushi, petiscos|seco|=1
W|veuve du vernay|brut rose|fr|p|??|??|??|NV|12|??|medio|saladas, sushi, petiscos|seco|=1
W|veuve du vernay|brut rose|fr|p|??|??|??|NV|12|??|medio|saladas, sushi, petiscos|seco|=1
W|veuve du vernay|brut rose|fr|p|??|??|??|NV|12|??|medio|saladas, sushi, petiscos|seco|=1
W|veuve du vernay|brut rose|fr|p|??|??|??|NV|12|??|medio|saladas, sushi, petiscos|seco|=1
W|veuve du vernay|brut rose|fr|p|??|??|??|NV|12|??|medio|saladas, sushi, petiscos|seco|=1
W|veuve du vernay|brut rose|fr|p|??|??|??|NV|12|??|medio|saladas, sushi, petiscos|seco|=1
W|veuve du vernay|brut rose|fr|p|??|??|??|NV|12|??|medio|saladas, sushi, petiscos|seco|=1
W|veuve du vernay|brut rose|fr|p|??|??|??|NV|12|??|medio|saladas, sushi, petiscos|seco|=1
W|veuve du vernay|brut rose|fr|p|??|??|??|NV|12|??|medio|saladas, sushi, petiscos|seco|=1
W|veuve du vernay|brut organic|fr|s|??|??|??|NV|12|??|leve|aperitivos, mariscos, frutos secos|brut
W|veuve du vernay|brut nv magnum france|fr|s|??|??|??|NV|12|??|leve|aperitivos, mariscos, frutos secos|brut
W|veuve du vernay|brut nv france|fr|s|??|??|??|NV|12|??|leve|aperitivos, mariscos, frutos secos|brut
W|veuve du vernay|brut nv france|fr|s|??|??|??|NV|12|??|leve|aperitivos, mariscos, frutos secos|brut|=14
W|veuve du vernay|brut nv|fr|s|??|??|??|NV|12|??|leve|aperitivos, mariscos, frutos secos|brut
W|veuve du vernay|brut nv|fr|s|??|??|??|NV|12|??|leve|aperitivos, mariscos, frutos secos|brut|=16
W|veuve du vernay|brut nv|fr|s|??|??|??|NV|12|??|leve|aperitivos, mariscos, frutos secos|brut|=16
W|veuve du vernay|brut nv|fr|s|??|??|??|NV|12|??|leve|aperitivos, mariscos, frutos secos|brut|=16
W|veuve du vernay|brut nv|fr|s|??|??|??|NV|12|??|leve|aperitivos, mariscos, frutos secos|brut|=16
W|veuve du vernay|brut no2 limited edition|fr|s|??|??|??|NV|12|??|leve|aperitivos, mariscos, frutos secos|brut
W|veuve du vernay|brut magnum nv|fr|s|??|??|??|NV|12|??|leve|aperitivos, mariscos, frutos secos|brut
W|veuve du vernay|brut magnum|fr|s|??|??|??|NV|12|??|leve|aperitivos, mariscos, frutos secos|brut
W|veuve du vernay|brut magnum|fr|s|??|??|??|NV|12|??|leve|aperitivos, mariscos, frutos secos|brut|=23
W|veuve du vernay|brut made with organic grapes france|fr|s|??|??|??|NV|12|??|leve|aperitivos, mariscos, frutos secos|brut
W|veuve du vernay|brut made with organic grapes france|fr|s|??|??|??|NV|12|??|leve|aperitivos, mariscos, frutos secos|brut|=25
W|veuve du vernay|brut ltd edition|fr|s|??|??|??|NV|12|??|leve|aperitivos, mariscos, frutos secos|brut
