W|syrah|vdf|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|vallee de la bretonne rouge les jamelles selection parcellaire|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|valine|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|valais les larmes dheracles|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|valais aoc|??|r|syrah|??|??|NV|13.5|AOC|encorpado|carnes, massas, queijos|seco
W|syrah|vagy shiraz|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|vaguada vina tintomare|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|un jour je serai une icone|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|uchronic vin rouge en canette|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|tua rita|??|r|syrah|??|??|2015|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|trocken|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|tradition igp pays doc domaines preignes|??|r|syrah|??|??|2022|13.5|IGP|encorpado|carnes, massas, queijos|seco
W|syrah|trabun|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|toscano igt uggiano x1 toscana|??|r|syrah|??|??|NV|13.5|IGT|encorpado|carnes, massas, queijos|seco
W|syrah|toscano igp maesta di santa luce|??|r|syrah|??|??|2021|13.5|IGP|encorpado|carnes, massas, queijos|seco
W|syrah|toscana rosso igt bio podere adua 1450|??|r|syrah|??|??|2019|13.5|IGT|encorpado|carnes, massas, queijos|seco
W|syrah|toscana rosso igt|??|r|syrah|??|??|NV|13.5|IGT|encorpado|carnes, massas, queijos|seco
W|syrah|toscana igt michele satta|??|r|syrah|??|??|NV|13.5|IGT|encorpado|carnes, massas, queijos|seco
W|syrah|toscana igt michele satta|??|r|syrah|??|??|2020|13.5|IGT|encorpado|carnes, massas, queijos|seco
W|syrah|toscana igt|??|r|syrah|??|??|2018|13.5|IGT|encorpado|carnes, massas, queijos|seco
W|syrah|toscana collezione privata|??|r|syrah|??|??|2020|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|toscana collezione privata|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|toscana collezione privata|??|r|syrah|??|??|2017|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|toscana|??|r|syrah|??|??|2016|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|tococo premium alcohuaz|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|tintos aveludados|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|tinto el convertido|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|timbrus pgi|??|r|syrah|??|??|2018|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|ti doc|??|r|syrah|??|??|NV|13.5|DOC|encorpado|carnes, massas, queijos|seco
W|syrah|three crows bridge pa vineyards hawkes bay new zealand|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|the tribe vyd horsepower|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|the prospector jordan estate stellenbosch south africa|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|the great places otto reynard stolpman|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|the great places jessica lauren stolpman|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|the firs|??|r|syrah|??|??|2025|13.5|??|encorpado|carnes, massas, queijos|seco
