W|syrah|7even zevenwacht|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|7 dieci|??|r|syrah|??|??|NV|7|??|encorpado|carnes, massas, queijos|seco
W|syrah|7 colores|??|r|syrah|??|??|NV|7|??|encorpado|carnes, massas, queijos|seco
W|syrah|60|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|5|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|480|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|48|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|37|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|35n 38|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|33|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|3 coups rouge|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|3 af vores favoritter|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|3|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|24 mois fut de chene chateau constellation|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|23|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|vineaste|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|personliche empfehlung|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|personliche empfehlung|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco|=17
W|syrah|maison stephan|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|les jamelles|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|bourdic|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|baron de badassiere languedoc france|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|aoc valais|??|r|syrah|??|??|2024|13.5|AOC|encorpado|carnes, massas, queijos|seco
W|syrah|syrah|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|syrah|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco|=24
W|syrah|syrah|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco|=24
W|syrah|syrah|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco|=24
W|syrah|syrah|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco|=24
W|syrah|syrah|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco|=24
W|syrah|syrah|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco|=24
W|syrah|syrah|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco|=24
W|syrah|syrah|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco|=24
W|syrah|syrah|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco|=24
W|syrah|syrah|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco|=24
W|syrah|syrah|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco|=24
W|syrah|syrah|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco|=24
W|syrah|syrah|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes, massas, queijos|seco|=24
W|syrah|the amphora selection|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|s23|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|robert clay vineyards|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|porto carras|??|f|syrah|??|??|2023|19.5|??|encorpado|foie gras, queijos azuis, sobremesas|seco
W|syrah|persoonlijke aanbeveling|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|personliche empfehlung|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|personliche empfehlung|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=43
W|syrah|paroles de terre|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|le mulet rouge special edition|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|languedoc france|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|im halbeli|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|domaine des collines|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|domaine de liserand|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|domaine bagnoud|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes, massas, queijos|seco|=52
W|syrah|2022case only|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|202223van tola|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|valentina andrei|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|terre siciliane igp gaudioso|it|r|syrah|sicilia|??|2022|13.5|IGP|encorpado|carnes, massas, queijos|seco
W|syrah|sigurd winery|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|sigurd winery|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco|=85
W|syrah|sicilia doc curatolo arini|it|r|syrah|sicilia|??|2022|13.5|DOC|encorpado|carnes, massas, queijos|seco
W|syrah|porto carras|??|f|syrah|??|??|2022|19.5|??|encorpado|foie gras, queijos azuis, sobremesas|seco
W|syrah|moravske zemske vino|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|little|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|languedoc france|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
W|syrah|la bri estate|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes, massas, queijos|seco
