W|argento|seleccion malbec 2019|ar|r|malbec|??|??|2019|13.5|??|encorpado|carnes, massas, queijos|seco
W|argento|shiraz|ar|r|shiraz|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argento|single block organic malbec|ar|r|malbec|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|argento|single block organic malbec|ar|r|malbec|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=3
W|argento|single block organic malbec|ar|r|malbec|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=3
W|argento|single block organico malbec|ar|r|malbec|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|argento|single block organico malbec|ar|r|malbec|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=6
W|argento|single vineyard agrelo malbec|ar|r|malbec|mendoza|agrelo|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|argento|single vineyard agrelo malbec|ar|r|malbec|mendoza|agrelo|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=8
W|argento|single vineyard agrelo malbec 2020|ar|r|malbec|mendoza|agrelo|2020|13.5|??|encorpado|carnes, massas, queijos|seco
W|argento|single vineyard altamira malbec|ar|r|malbec|mendoza|altamira|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|argento|single vineyard altamira malbec|ar|r|malbec|mendoza|altamira|NV|13.5|??|encorpado|carnes, massas, queijos|seco|=11
W|argento|single vineyard altamira malbec 2021|ar|r|malbec|mendoza|altamira|2021|13.5|??|encorpado|carnes, massas, queijos|seco
W|argento|single vineyard cabernet franc|ar|r|cabernet franc|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argento|single vineyard cabernet franc|ar|r|cabernet franc|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco|=14
W|argento|single vineyard chardonnay|ar|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|argento|single vineyard chardonnay|ar|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco|=16
W|argento|single vineyard finca altamira organic malbec argentina|ar|r|malbec|mendoza|altamira|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|argento|single vineyard gualtallary chardonnay|ar|w|chardonnay|mendoza|gualtallary|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|argento|single vineyard organic cabernet franc|ar|r|cabernet franc|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argento|single vineyard organic cabernet franc agr|ar|r|cabernet franc|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argento|single vineyard organic malbec altamira|ar|r|malbec|mendoza|altamira|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|argento|single vineyard organico cabernet franc|ar|r|cabernet franc|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argento|sv agrelo malbec organico|ar|r|malbec|mendoza|agrelo|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|argento|sv agrelo organico malbec|ar|r|malbec|mendoza|agrelo|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|argento|syrah|ar|r|syrah|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|argento|torrontes|ar|w|torrontes|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|argento|torrontes 2021|ar|w|torrontes|??|??|2021|12.5|??|leve|frutos do mar, saladas, queijos|seco
X
W|argentoratum|2023|??|r|??|??|??|2023|13.5|??|medio|carnes, massas, queijos|seco
W|argentum|7|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argentynskie|biae wino powytrawne rincon del sol chardonnay chenin|??|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|argentynskie|biae wino wytrawne rincon del sol chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|argentynskie|czerwone wino wytrawne rincon del sol malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carnes, massas, queijos|seco
W|argentynskie|czerwone wytrawne wino z valle de uco mascota unanime|ar|r|??|mendoza|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argentynskie|wino czerwone powytrawne rincon del sol bonarda cabernet sauvignon|??|w|cabernet sauvignon|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|argeo|prosecco doc treviso brut|it|s|??|veneto|treviso|NV|12|doc|leve|aperitivos, frutos do mar, queijos|brut
W|argeo|prosecco doc treviso brut|it|s|??|veneto|treviso|NV|12|doc|leve|aperitivos, frutos do mar, queijos|brut|=37
W|argeo|prosecco rose brut millesimato 2020|??|p|??|??|??|2020|12.5|??|leve|saladas, frutos do mar, aperitivos|seco
W|argeo|prosecco rose brut millesimato 2020|??|p|??|??|??|2020|12.5|??|leve|saladas, frutos do mar, aperitivos|seco|=39
W|argeo|ruggeri prosecco brut|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, queijos|brut
W|argese|primitivo 18 puglia 2020 tenute girolamo italia|it|r|primitivo|puglia|??|2020|13.5|??|encorpado|carnes, massas, queijos|seco
W|argeste|sabreseno|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argeste|vermentino di gallura docg superiore sabreseno|??|w|vermentino|??|??|NV|12.5|docg|leve|frutos do mar, saladas, queijos|seco
X
X
X
X
X
X
X
X
X
X
X
X
W|arghentu|sulle bucce vermentino di sardegna doc cantina alessandro bocca|??|w|vermentino|??|??|NV|12.5|doc|leve|frutos do mar, saladas, queijos|seco
W|arghentu|vermentino di sardegna doc cantina alessandro bocca|??|w|vermentino|??|??|NV|12.5|doc|leve|frutos do mar, saladas, queijos|seco
W|argia|rosso isola dei nuraghi igt 2021 tenute lattias|??|r|??|??|??|2021|13.5|igt|medio|carnes, massas, queijos|seco
W|argia|rosso isola dei nuraghi igt tenute lattias|??|r|??|??|??|NV|13.5|igt|medio|carnes, massas, queijos|seco
W|argia|rosso tenute lattias|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|argiano|14 075|it|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
