W|arindo|shaya|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arindo|verdejo|??|w|verdejo|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arini|etna rosso|it|r|??|sicily|etna|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arini|marsala fine|it|f|??|sicily|marsala|NV|17|??|medio|queijos azuis, sobremesas|seco
W|arini|marsala superiore riserva 10 years|it|f|??|sicily|marsala|NV|17|??|medio|queijos azuis, sobremesas|seco
W|arini|nero davola doc sicilia|it|r|nero d avola|??|??|NV|13.5|doc|medio|carnes, massas, queijos|seco
W|arini|paccamora inzolia|??|w|inzolia|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arintha|giraldi giraldi|??|r|??|??|??|NV|13.5|??|medio|carnes, massas, queijos|seco
W|arintha|igp calabria bianco di giraldi giraldi|??|r|??|??|??|NV|13.5|igp|medio|carnes, massas, queijos|seco
W|arinto|arinto|??|w|arinto|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto|arinto|??|w|arinto|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco|=10
W|arinto|arinto|??|w|arinto|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco|=10
W|arinto|2017|??|w|arinto|??|??|2017|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto|2019|??|w|arinto|??|??|2019|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto|2020|??|w|arinto|??|??|2020|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto|2020 quinta da biaia|??|w|arinto|??|??|2020|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto|2022|??|w|arinto|??|??|2022|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto|2022 1|??|w|arinto|??|??|2022|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto|2024 vila nova doc vinho verde portugal 125|??|w|arinto|??|??|2024|12.5|doc|leve|frutos do mar, saladas, queijos|seco
W|arinto|bical 23|??|w|arinto|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto da malhadinha|branco 2022|??|w|arinto|??|??|2022|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto das indigenas|indigenas|??|w|arinto|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto das indigenas|do morgado branco 2022|??|w|arinto|??|??|2022|12.5|do|leve|frutos do mar, saladas, queijos|seco
W|arinto dos acores|acores|??|w|arinto|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto dos acores|acores|??|w|arinto|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco|=24
W|arinto dos acores|acores|??|w|arinto|??|??|NV|12.5|??|leve|frutos do mar, saladas, queijos|seco|=24
W|arinto dos acores|2 edicao 48 meses by macanita branco 2018|??|w|arinto|??|??|2018|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto dos acores|2018|??|w|arinto|??|??|2018|12.5|??|leve|frutos do mar, saladas, queijos|seco
W|arinto dos acores|2018 2a edicao|??|w|arinto|??|??|2018|12.5|??|leve|frutos do mar, saladas, queijos|seco
