1. W|aurelia visinescu|anima 3 fete negre|ro|r|??|??|??|NV|13.5|??|medio|carne vermelha, churrasco, queijo|seco
2. W|aurelia visinescu|anima 3 fete negre|ro|r|??|??|??|NV|13.5|??|medio|carne vermelha, churrasco, queijo|seco|=1
3. W|aurelia visinescu|anima 3 fete negre|ro|r|??|??|??|NV|13.5|??|medio|carne vermelha, churrasco, queijo|seco|=1
4. W|aurelia visinescu|anima 3 fete negre|ro|r|??|??|??|NV|13.5|??|medio|carne vermelha, churrasco, queijo|seco|=1
5. W|aurelia visinescu|anima cabernet sauvignon|ro|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco
6. W|aurelia visinescu|anima cabernet sauvignon|ro|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco|=5
7. W|aurelia visinescu|anima cabernet sauvignon|ro|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco|=5
8. W|aurelia visinescu|anima cabernet sauvignon|ro|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco|=5
9. W|aurelia visinescu|anima cabernet sauvignon|ro|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco|=5
10. W|aurelia visinescu|anima cabernet sauvignon|ro|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco|=5
11. W|aurelia visinescu|anima chardonnay|ro|w|chardonnay|??|??|NV|13|??|medio|frutos do mar, aves, queijo|seco
12. W|aurelia visinescu|anima chardonnay|ro|w|chardonnay|??|??|NV|13|??|medio|frutos do mar, aves, queijo|seco|=11
13. W|aurelia visinescu|anima chardonnay|ro|w|chardonnay|??|??|NV|13|??|medio|frutos do mar, aves, queijo|seco|=11
14. W|aurelia visinescu|anima chardonnay oak|ro|w|chardonnay|??|??|NV|13.5|??|medio|frutos do mar, aves, queijo|seco
15. W|aurelia visinescu|anima chardonnay oak|ro|w|chardonnay|??|??|NV|13.5|??|medio|frutos do mar, aves, queijo|seco|=14
16. W|aurelia visinescu|anima chardonnay oak|ro|w|chardonnay|??|??|NV|13.5|??|medio|frutos do mar, aves, queijo|seco|=14
17. W|aurelia visinescu|anima chardonnay|ro|w|chardonnay|??|??|NV|13|??|medio|frutos do mar, aves, queijo|seco|=11
18. W|aurelia visinescu|anima grand reserve|ro|r|??|??|??|NV|14.5|??|encorpado|carne vermelha, cordeiro, queijo|seco
19. W|aurelia visinescu|anima grand reserve|ro|r|??|??|??|2016|14.5|??|encorpado|carne vermelha, cordeiro, queijo|seco
20. W|aurelia visinescu|anima grand reserve|ro|r|??|??|??|2019|14.5|??|encorpado|carne vermelha, cordeiro, queijo|seco
21. W|aurelia visinescu|anima grand reserve|ro|r|??|??|??|NV|14.5|??|encorpado|carne vermelha, cordeiro, queijo|seco|=18
22. W|aurelia visinescu|anima grand reserve|ro|r|??|??|??|NV|14.5|??|encorpado|carne vermelha, cordeiro, queijo|seco|=18
23. W|aurelia visinescu|anima merlot|ro|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco
24. W|aurelia visinescu|anima merlot|ro|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco|=23
25. W|aurelia visinescu|anima merlot|ro|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco|=23
26. W|aurelia visinescu|anima merlot|ro|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco|=23
27. W|aurelia visinescu|anima pinot noir|ro|r|pinot noir|??|??|NV|13.5|??|medio|aves, carne branca, queijo|seco
28. W|aurelia visinescu|anima pinot noir|ro|r|pinot noir|??|??|NV|13.5|??|medio|aves, carne branca, queijo|seco|=27
29. W|aurelia visinescu|anima pinot noir|ro|r|pinot noir|??|??|NV|13.5|??|medio|aves, carne branca, queijo|seco|=27
30. W|aurelia visinescu|anima syrah|ro|r|syrah|??|??|NV|14|??|encorpado|carne vermelha, cordeiro, queijo|seco
31. W|aurelia visinescu|anima syrah|ro|r|syrah|??|??|NV|14|??|encorpado|carne vermelha, cordeiro, queijo|seco|=30
32. W|aurelia visinescu|anima syrah|ro|r|syrah|??|??|NV|14|??|encorpado|carne vermelha, cordeiro, queijo|seco|=30
33. W|aurelia visinescu|anima syrah|ro|r|syrah|??|??|2016|14|??|encorpado|carne vermelha, cordeiro, queijo|seco
34. W|aurelia visinescu|anima syrah|ro|r|syrah|??|??|NV|14|??|encorpado|carne vermelha, cordeiro, queijo|seco|=30
35. W|aurelia visinescu|anima syrah|ro|r|syrah|??|??|NV|14|??|encorpado|carne vermelha, cordeiro, queijo|seco|=30
36. W|aurelia visinescu|artisan feteasca alba|ro|w|feteasca alba|??|??|NV|12.5|??|leve|saladas, peixes, queijos|seco
37. W|aurelia visinescu|artisan feteasca neagra|ro|r|feteasca neagra|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco
38. W|aurelia visinescu|artisan feteasca neagra|ro|r|feteasca neagra|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco|=37
39. W|aurelia visinescu|artisan feteasca neagra|ro|r|feteasca neagra|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco|=37
40. W|aurelia visinescu|artisan feteasca neagra|ro|r|feteasca neagra|??|??|NV|13.5|??|medio|carne vermelha, massas, queijo|seco|=37
