W|brancott|estate chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate chardonnay 2021|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate chardonnay screw top|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate classic east coast blush rose|??|p|??|??|??|NV|12.5|??|leve|saladas, peixe|seco
W|brancott|estate classic marlborough sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate east coast blush rose 2022|??|p|??|??|??|NV|12.5|??|leve|saladas, peixe|seco
W|brancott|estate east coast chardonnay 2021|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate east coast pinot gris|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate east coast pinot gris 2022|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate east coast pinot gris 2023|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate flight marlborough rose 2022|??|p|??|??|??|NV|12.5|??|leve|saladas, peixe|seco
W|brancott|estate flight marlborough sauvignon blanc 2022|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate flight pinot gris|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate flight pinot gris 2024|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate flight pinot gris screw top|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate flight rose|??|p|??|??|??|NV|12.5|??|leve|saladas, peixe|seco
W|brancott|estate flight rose screw cap|??|p|??|??|??|NV|12.5|??|leve|saladas, peixe|seco
W|brancott|estate flight sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate flight sauvignon blanc 2024|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate flight song sauvignon blanc 2024|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate flight song sauvignon blanc marlborough|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate hawkes bay merlot|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate hawkes bay merlot 2020|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate hawkes bay merlot 2020|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=23
W|brancott|estate hawkes bay merlot 2022|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate identity sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate letter b sauvignon b new zealand|??|??|??|??|??|NV|??|??|medio|??|seco
W|brancott|estate letter b sauvignon blanc 2017|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate letter series b late harvest marlborough sauvignon blanc 2023|??|d|??|??|??|NV|10|??|encorpado|sobremesas, queijo|doce
W|brancott|estate letter series b late harvest sauvignon blanc|??|d|??|??|??|NV|10|??|encorpado|sobremesas, queijo|doce
W|brancott|estate letter series b marlborough sauvignon blanc 2022|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate letter series b marlborough sauvignon blanc 2023|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate letter series b marlborough sauvignon blanc 2023|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=32
W|brancott|estate letter series b marlborough sauvignon blanc 2024|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate letter series b marlborough sauvignon blanc 2025|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate letter series b sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate letter series b sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=36
W|brancott|estate letter series b sauvignon blanc 2022|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate letter series chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate letter series martinborough pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate letter series o chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate letter series o chardonnay 2023|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate letter series o chardonnay 2024|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate letter series o chardonnay 2024|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=43
W|brancott|estate letter series o marlborough chardonnay 2017|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate letter series o marlborough chardonnay 2018|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate letter series o marlborough chardonnay 2019|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate letter series o marlborough chardonnay 2021|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate letter series o marlborough chardonnay 2022|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate letter series o marlborough chardonnay 2023|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate letter series o marlborough chardonnay 2024|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate letter series pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate letter series pinot noir 2019 red dry 125 075|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate letter series sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate letter series sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=54
W|brancott|estate letter series single vineyard new zealand sauvignon blanc 2024|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate letter series t marlborough pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate letter series t marlborough pinot noir 2022|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate letter series t marlborough pinot noir 2023|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate letter series t pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate letter series t pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=60
W|brancott|estate letter t pinot noir 2017|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate letter t pinot noir new zealand|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate letter t series marlborough pinot noir 2014|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate living land series chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brancott|estate marlborough pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate marlborough pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=66
W|brancott|estate marlborough pinot noir 2017|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate marlborough pinot noir wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brancott|estate marlborough sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
