1. W|cantina sorbara|omaggio a gino friedmann lambrusco di sorbara brut|it|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
2. W|cantina sorelli|sorelli|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
3. W|cantina sorelli|chianti docg|it|r|??|chianti|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
4. W|cantina sorelli|rosso tinto|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
5. W|cantina sorelli|sorelli|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
6. W|cantina spelonga|bianco manto|it|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
7. W|cantina spelonga|twist bianco|it|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
8. W|cantina spinetta|centorose brut|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
9. W|cantina spinetta|cuordileone romagna sangiovese superiore dop|it|r|sangiovese|romagna|??|2017|13.5|dop|encorpado|carne vermelha, massas, queijos curados|seco
10. W|cantina terlan|a a chardonnay doc|it|w|chardonnay|??|??|2021|12.5|doc|medio|peixes, frutos do mar, saladas|seco
11. W|cantina terlan|a a gewurztraminer lunare doc|it|w|gewurztraminer|??|??|2016|12.5|doc|leve|peixes, frutos do mar, saladas|seco
12. W|cantina terlan|a a gewurztraminer lunare doc|it|w|gewurztraminer|??|??|2017|12.5|doc|leve|peixes, frutos do mar, saladas|seco
13. W|cantina terlan|a a lagrein gries riserva doc|it|r|lagrein|??|??|2017|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
14. W|cantina terlan|a a lagrein riserva doc porphyr|it|r|lagrein|??|??|2005|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
15. W|cantina terlan|a a lagrein riserva doc porphyr|it|r|lagrein|??|??|2007|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
