1. W|cantine colosi|nero davola terre siciliane igp|it|r|nero davola|sicilia|??|2023|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
2. W|cantine colosi|passito sicilia|it|d|??|sicilia|??|2021|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
3. W|cantine colosi|passito terre siciliane|it|d|??|sicilia|??|2020|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
4. W|cantine colosi|passito terre siciliane|it|d|??|sicilia|??|2020|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=3
5. W|cantine colosi|rosso|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
6. W|cantine colosi|salina bianco|it|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
7. W|cantine colosi|salina bianco|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
8. W|cantine colosi|salina bianco|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=7
9. W|cantine colosi|salina rosso|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
10. W|cantine colosi|salina rosso|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
11. W|cantine colosi|terre siciliane rosso|it|r|??|sicilia|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
12. W|cantine colosi|terre siciliane rosso|it|r|??|sicilia|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
13. W|cantine colosi|terre siciliane rosso|it|r|??|sicilia|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
14. W|cantine coppo|costebianche chardonnay|it|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
15. W|cantine coppo|lavvocata barbera dasti docg|it|r|barbera|??|??|2023|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
16. W|cantine crocco|il brigante merlot basilicata igt|it|r|merlot|basilicata|??|2022|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
17. W|cantine crocco|matinone primitivo basilicata igt|it|r|primitivo|basilicata|??|2022|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
18. W|cantine crosio|erbaluce di caluso primavigna|it|w|erbaluce|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
19. W|cantine crosio|incanto metodo classico erbaluce di caluso|it|s|erbaluce|??|??|NV|12|do|leve|frutos do mar, aperitivos, sushi|brut
20. W|cantine crosio|primavite erbaluce|it|w|erbaluce|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
