1. W|cantine povero|moscato dasti 2022 bottle|it|w|moscato|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
2. W|cantine povero|moscato dasti|it|w|moscato|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
3. W|cantine povero|moscato dasti campo del palio piedmont italy|it|w|moscato|piedmont|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
4. W|cantine povero|nebbiolo langhe|it|r|nebbiolo|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
5. W|cantine povero|piemonte barbera monte luzzo piedmont italy|it|r|barbera|piemonte|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
6. W|cantine povero|priore barolo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
7. W|cantine povero|priore barolo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=6
8. W|cantine povero|priore barolo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=6
9. W|cantine povero|priore barolo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=6
10. W|cantine povero|priore barolo|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
11. W|cantine povero|priore barolo|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=10
12. W|cantine povero|priore barolo|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=10
13. W|cantine povero|priore barolo 2021 145 ck|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
14. W|cantine povero|priore barolo docg|it|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
15. W|cantine povero|priore barolo piedmont italy|it|r|??|piedmont|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
16. W|cantine povero|rosato keykeg nv 12|it|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
17. W|cantine povero|sibane|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
18. W|cantine povero|sibane 2023 15 ck|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
19. W|cantine povero|sole dottobre|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
20. W|cantine povero|sole dottobre nv 15 ck|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
21. W|cantine povero|tenuta lamare tumlin roero|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
22. W|cantine povero|tenuta larame terre del conte roero arneis|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
23. W|cantine povero|tenuta larame terre del conte roero arneis|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
24. W|cantine povero|terre del conte roero arneis|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
25. W|cantine povero|vino rosso domestico dolcetto keykeg nv 125|it|r|dolcetto|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
26. W|cantine povero|vino spumante|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
