1. W|cao|agata arinto amphora 2024 0|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
2. W|cao|brazilia minis|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
3. W|cao|bx3 robusto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
4. W|cao|cameroon perfecto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
5. W|cao|caorologio 2007 0750 veneto italie|it|r|??|veneto|??|2007|13.5|??|medio|carne vermelha, massas, queijos curados|seco
6. W|cao|champions iii sampler 10pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
7. W|cao|fasa sombra gigante|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
8. W|cao|fasa sombra toro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
9. W|cao|flathead big block 770|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
10. W|cao|flathead speed shop habano 654|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
11. W|cao|flathead speed shop habano 660|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
12. W|cao|flathead speed shop habano 770|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
13. W|cao|flathead v660 carb|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
14. W|cao|formaggi pecorino romano dop 200g|??|w|??|??|??|NV|12.5|dop|medio|peixes, frutos do mar, saladas|seco
15. W|cao|ila 12 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
16. W|cao|perdigueiro alicante bouchet|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
17. W|cao|perdigueiro barricao americano cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
18. W|cao|perdigueiro barricao frances cabernet sauvignon|fr|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
19. W|cao|perdigueiro cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
20. W|cao|perdigueiro cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
21. W|cao|perdigueiro cabernet sauvignon barricao americano|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
22. W|cao|perdigueiro chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
23. W|cao|perdigueiro chardonnay e trebbiano|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
24. W|cao|perdigueiro chardonnay trebbiano|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
25. W|cao|perdigueiro claret sauvignon|??|r|sauvignon|??|??|NV|13.5|??|leve|carne vermelha, massas, queijos curados|seco
26. W|cao|perdigueiro enigmaticao ii|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
27. W|cao|perdigueiro fusao de tintas|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
28. W|cao|perdigueiro fusao tintas|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
29. W|cao|perdigueiro goethe|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
30. W|cao|perdigueiro marselan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
31. W|cao|perdigueiro merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
32. W|cao|perdigueiro merlot nouveau|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
33. W|cao|perdigueiro moscato giallo laranjinha|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
34. W|cao|perdigueiro moscato giallo laranjinha|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=33
35. W|cao|perdigueiro peverella laranja|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
36. W|cao|perdigueiro riesling renano|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
37. W|cao|perdigueiro riesling renano|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=36
38. W|cao|perdigueiro riesling renano nature|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
39. W|cao|perdigueiro rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
40. W|cao|perdigueiro rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=39
41. W|cao|perdigueiro sangiovese|??|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
42. W|cao|perdigueiro sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
