1. W|cap|maritime south coast pinot noir|??|r|pinot noir|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
2. W|cap|mattei blanc grande reserve|??|w|??|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
3. S
4. W|cap|mattei rouge grande reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
5. W|cap|modern dad black|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
6. W|cap|modern dad khaki|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
7. W|cap|mr lion|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
8. W|cap|mrs rabbit|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
9. W|cap|nord|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
10. W|cap|nord crozeshermitage|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
11. W|cap|o sud|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
12. W|cap|o sud 2021 famille dutraive|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
13. X
14. W|cap|ocea igp atlantique merlot rose|??|p|merlot|??|??|NV|12|igp|leve|carne vermelha, massas, queijos curados|seco
15. W|cap|ocea igp atlantique sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|igp|leve|peixes, frutos do mar, saladas|seco
16. W|cap|ocea merlot rose 2024 frais et leger atlantique|??|p|merlot|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
17. W|cap|ocea sauvignon blanc 2024 fris et leger atlantique|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
18. W|cap|ocean rillettes de thon 150g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
19. W|cap|on pourer|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
20. X
21. W|cap|remover|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
22. W|cap|retro trucker|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
23. W|cap|rivera rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
24. W|cap|riviera south rose 20222023 mevoshal|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
25. W|cap|rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
26. W|cap|rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=25
27. W|cap|rose|??|p|??|??|??|2022|12|??|leve|carne vermelha, massas, queijos curados|seco
28. W|cap|royal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
29. W|cap|royal|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
30. W|cap|royal blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
31. W|cap|royal bordeaux blanc|fr|w|??|bordeaux|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
32. W|cap|royal bordeaux superieur|fr|r|??|bordeaux|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
33. W|cap|royal bordeaux superieur cuvee tradition|fr|r|??|bordeaux|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
34. W|cap|royal bordeaux superior|fr|r|??|bordeaux|??|2022|13.5|superior|medio|carne vermelha, massas, queijos curados|seco
35. W|cap|royal rouge 2022 14 0|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
36. W|cap|royal rouge bordeaux superieur|fr|r|??|bordeaux|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
37. W|cap|royal sauvignon blanc cuvee intense bordeaux|fr|w|sauvignon blanc|bordeaux|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
38. W|cap|royal twin gift set|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
39. W|cap|royal white|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
40. W|cap|saintmartin blaye cotes de bordeaux blanc|fr|w|??|bordeaux|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
41. W|cap|saintmartin blaye cotes de bordeaux rouge|fr|r|??|bordeaux|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
42. W|cap|saintmartin cuvee prestige|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
43. W|cap|saintmartin le cabernet den face|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
44. W|cap|saintmartin merlot eleve en fut de chene|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
45. W|cap|sentit|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
46. W|cap|sentit orange|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
47. W|cap|sentit orange do catalunya|??|r|??|??|??|2024|13.5|do|medio|carne vermelha, massas, queijos curados|seco
48. W|cap|sentit orange garnacha|??|r|garnacha|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
49. W|cap|sentit pinot noir|??|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
50. W|cap|sleeve snowy baby tee|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
51. W|cap|sur le blanc 2020 famille dutraive|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
