1. W|cape|heights cinsault rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
2. W|cape|heights merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
3. W|cape|heights merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=2
4. W|cape|heights merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=2
5. W|cape|heights merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=2
6. W|cape|heights merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=2
7. W|cape|heights merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=2
8. W|cape|heights merlot|??|r|merlot|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
9. W|cape|heights merlot|??|r|merlot|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
10. W|cape|heights merlot western cape|za|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
11. W|cape|heights pinotage 14|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
12. W|cape|heights pinotage|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
13. W|cape|heights sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
14. W|cape|heights sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=13
15. W|cape|heights sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=13
16. W|cape|heights sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=13
17. W|cape|heights sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=13
18. W|cape|heights sauvignon blanc 125|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
19. W|cape|heights sauvignon blanc|??|w|sauvignon blanc|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
20. W|cape|heights sauvignon blanc western cape|za|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
21. W|cape|heights shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
22. W|cape|heights shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=21
23. W|cape|heights shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=21
24. W|cape|heights shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=21
25. W|cape|heights shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=21
26. W|cape|heights shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=21
27. W|cape|heights shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=21
28. W|cape|heights shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=21
29. W|cape|heights shiraz|??|r|shiraz|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
30. W|cape|heights shiraz|??|r|shiraz|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=29
31. W|cape|heights shiraz western cape|za|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
32. W|cape|heights viognier 13|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
33. W|cape|horn eagle collectors bundle navy marine edition|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
34. W|cape|horn special naval eagle ed black|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
35. W|cape|horn special naval eagle ed white|??|w|??|??|??|NV|12.5|ava|medio|peixes, frutos do mar, saladas|seco
36. W|cape|house nz sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
37. W|cape|hues merlot|??|r|merlot|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
38. W|cape|island wax melt set|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
39. W|cape|island with love bath salts in a jar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
40. W|cape|island with love edp|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
41. W|cape|island with love fragrance oil|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
42. W|cape|island with love massage butter in a jar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
43. W|cape|jaffa aura pet nat|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
44. W|cape|jaffa chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
45. W|cape|jaffa cj sparkling chardonnay pinot noir|??|s|chardonnay|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
46. W|cape|jaffa mesmer eyes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
47. W|cape|jaffa rose|??|p|??|??|??|2025|12|??|leve|carne vermelha, massas, queijos curados|seco
48. W|cape|jaffa sauv blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
49. W|cape|jaffa sauvignon blanc|??|w|sauvignon blanc|??|??|2025|12.5|??|leve|peixes, frutos do mar, saladas|seco
50. W|cape|jaffa shiraz|??|r|shiraz|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
51. W|cape|jaffa sparkling chardonnay blanc de blanc|??|s|chardonnay|??|??|2024|12|??|leve|frutos do mar, aperitivos, sushi|brut
52. W|cape|jewel brut rose|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
53. W|cape|jewel cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
54. W|cape|jewel cabernet sauvignon reserve|??|r|cabernet sauvignon|??|??|NV|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
55. W|cape|jewel chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
56. W|cape|jewel chardonnay 23|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
57. W|cape|jewel chardonnay reserve|??|w|chardonnay|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
58. W|cape|jewel chenin blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
59. W|cape|jewel chenin blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=58
60. W|cape|jewel chenin blanc 23|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
61. W|cape|jewel gewurtzraminer|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
62. W|cape|jewel merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
63. W|cape|jewel merlot 21|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
64. W|cape|jewel merlot reserve|??|r|merlot|??|??|NV|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
65. W|cape|jewel moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
66. W|cape|jewel moscato 21|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
67. W|cape|jewel pinotage|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
68. W|cape|jewel rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
69. W|cape|jewel rose 23|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
70. W|cape|kidnappers merlot|??|r|merlot|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
71. W|cape|kidnappers merlot|??|r|merlot|??|??|2025|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
72. W|cape|kidnappers syrah|??|r|syrah|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
73. W|cape|kidnappers syrah|??|r|syrah|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
74. W|cape|lady pinotage rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
75. W|cape|late bottled vintage|??|r|??|??|??|2005|13.5|??|medio|carne vermelha, massas, queijos curados|seco
76. W|cape|line strawberry 6pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
77. W|cape|line variety 12 pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
78. W|cape|line variety 12pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
