1. W|capere|330gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
2. W|capere|bio in ulei de masline 180 g mani blauel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
3. W|capere|in otet casa rinaldi 100g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
4. W|capere|marinate 130gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
5. W|caperina|kapary|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
6. W|caperitif|caperitif|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
7. W|caperitif|badenhorst|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
8. W|caperitif|kaapse dief|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
9. W|caperitif|kaapse dief nv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
10. W|caperitif|kaapse dief soet vermoed|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
11. W|caperitif|kaapse dief soet vermoed|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=10
12. W|caperitif|vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
13. W|capers|capers|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
14. W|capers|capers|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=13
15. W|capers|capers|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=13
16. W|capers|capers|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=13
17. W|capers|100g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
18. W|capers|150g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
19. W|capers|198g 120280|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
20. W|capers|350g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
21. W|capers|90g 120279|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
22. W|capers|alcaparras|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
23. W|capers|capotes in aceto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
24. W|capers|capucine 89mm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
25. W|capers|for pizza damico capperi per pizza 100 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
26. W|capers|in brine 120gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
27. X
28. W|capers|in salt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
29. W|capers|in salt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=28
30. W|capers|in salt agostino recca|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
31. W|capers|organic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
32. W|capers|sicilian almonds pate 180g campo doro|it|r|??|sicilia|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
33. W|capers|with stem sicilian style damico 290g|it|r|??|sicilia|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
34. W|caperucita|en manhattan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
35. W|caperuza|caperuza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
36. W|caperuza|empaque especial|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
37. W|capesante|aglio e peperoncino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
38. W|capessana|ghiaie della furba|??|r|??|??|??|2003|13.5|??|medio|carne vermelha, massas, queijos curados|seco
39. W|capestrano|montepulciano|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
40. W|capestyle|red blends mixed case|??|r|red blend|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
41. W|capet|duverger st emilion|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
42. W|capet|st emillion grand cru|??|r|??|??|??|NV|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
43. W|capetown|stainless vacuum bottle w flip top lid 8 hours hot cold|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
44. W|capetownian|spirit aperitif|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
45. W|capetta|asti|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
46. W|capetta|asti dolce|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
47. W|capetta|brachetto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
48. W|capetta|brachetto piemonte doc|it|r|??|piemonte|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
