1. W|cappellano|barolo otin fiorin pie rupestris piemonte italy|it|r|??|piemonte|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
2. W|cappellano|barolo pie franco|it|r|??|??|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
3. W|cappellano|barolo pie rupetris|it|r|??|??|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
4. W|cappellano|barolo pie rupestris|it|r|??|??|??|2007|13.5|??|medio|carne vermelha, massas, queijos curados|seco
5. W|cappellano|barolo pie franco|it|r|??|??|??|2008|13.5|??|medio|carne vermelha, massas, queijos curados|seco
6. W|cappellano|barolo pie rupestris|it|r|??|??|??|2008|13.5|??|medio|carne vermelha, massas, queijos curados|seco
7. W|cappellano|barbera dalba gabutti|??|r|barbera|??|??|2010|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
8. W|cappellano|barolo pie rupestris|it|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
9. W|cappellano|langhe nebbiolo|??|r|nebbiolo|??|??|2010|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
10. W|cappellano|barolo otin fiorin pie rupestris piemonte italy|it|r|??|piemonte|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
11. W|cappellano|barolo pie franco|it|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
12. W|cappellano|barolo pie rupestris|it|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
13. W|cappellano|barbera dalba gabutti|??|r|barbera|??|??|2013|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
14. W|cappellano|barolo pie rupestris|it|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
15. W|cappellano|barbera dalba gabutti|??|r|barbera|??|??|2014|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
16. W|cappellano|barolo pie rupestris|it|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
17. W|cappellano|barbera dalba|??|r|barbera|??|??|2015|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
18. W|cappellano|barolo pie franco|it|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
19. W|cappellano|barolo pie rupestris|it|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
20. W|cappellano|barolo pie rupestris|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
21. W|cappellano|barolo pie franco|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
22. W|cappellano|barolo pie franco|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=21
23. W|cappellano|barolo pie rupestris|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
24. W|cappellano|barolo pie rupestris|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=23
25. W|cappellano|barolo pie franco|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
26. W|cappellano|barolo pie rupestris|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
27. W|cappellano|barolo pie rupestris|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=26
28. W|cappellano|barolo pie rupestris|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=26
29. W|cappellano|barbera dalba gabutti|??|r|barbera|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
30. W|cappellano|barolo pie franco|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
31. W|cappellano|barolo pie franco|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=30
32. W|cappellano|barolo pie rupestris|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
33. W|cappellano|barolo pie rupestris|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=32
34. X
35. W|cappellano|barolo pie franco|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
36. W|cappellano|barolo pie franco|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=35
37. W|cappellano|barolo pie rupestris|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
38. W|cappellano|barolo pie rupestris|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=37
39. W|cappellano|barolo pie rupestris|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=37
40. W|cappellano|barbera dalba|??|r|barbera|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
41. W|cappellano|barbaresco|it|r|??|??|??|1965|13.5|??|medio|carne vermelha, massas, queijos curados|seco
42. W|cappellano|barbera dalba|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
43. W|cappellano|barbera dalba|??|r|barbera|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=40
44. W|cappellano|barbera dalba|??|r|barbera|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=40
45. W|cappellano|barbera dalba|??|r|barbera|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=40
46. W|cappellano|barbera dalba|??|r|barbera|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=40
47. W|cappellano|barbera dalba gabutti|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
48. W|cappellano|barbera dalba gabutti|??|r|barbera|??|??|2006|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
49. W|cappellano|barbera dalba gabutti|??|r|barbera|??|??|2010|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=7
50. W|cappellano|barbera dalba gabutti|??|r|barbera|??|??|2012|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
51. W|cappellano|barbera dalba gabutti|??|r|barbera|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
52. W|cappellano|barbera dalba gabutti|??|r|barbera|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
53. W|cappellano|barbera dalba gabutti|??|r|barbera|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=52
54. W|cappellano|barbera dalba gabutti|??|r|barbera|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=29
55. W|cappellano|barbera dalba gabutti|??|r|barbera|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
56. W|cappellano|barbera dalba gabutti|??|r|barbera|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=55
57. W|cappellano|barbera dalba gabutti|??|r|barbera|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=55
58. W|cappellano|barolo|it|r|??|??|??|1950|13.5|??|medio|carne vermelha, massas, queijos curados|seco
59. W|cappellano|barolo|it|r|??|??|??|1957|13.5|??|medio|carne vermelha, massas, queijos curados|seco
60. W|cappellano|barolo|it|r|??|??|??|1959|13.5|??|medio|carne vermelha, massas, queijos curados|seco
61. W|cappellano|barolo|it|r|??|??|??|1965|13.5|??|medio|carne vermelha, massas, queijos curados|seco
62. W|cappellano|barolo|it|r|??|??|??|1966|13.5|??|medio|carne vermelha, massas, queijos curados|seco
63. W|cappellano|barolo|it|r|??|??|??|1967|13.5|??|medio|carne vermelha, massas, queijos curados|seco
64. W|cappellano|barolo|it|r|??|??|??|1968|13.5|??|medio|carne vermelha, massas, queijos curados|seco
65. W|cappellano|barolo|it|r|??|??|??|1971|13.5|??|medio|carne vermelha, massas, queijos curados|seco
66. W|cappellano|barolo|it|r|??|??|??|1974|13.5|??|medio|carne vermelha, massas, queijos curados|seco
67. W|cappellano|barolo|it|r|??|??|??|1977|13.5|??|medio|carne vermelha, massas, queijos curados|seco
68. W|cappellano|barolo|it|r|??|??|??|1980|13.5|??|medio|carne vermelha, massas, queijos curados|seco
69. W|cappellano|barolo|it|r|??|??|??|2000|13.5|??|medio|carne vermelha, massas, queijos curados|seco
70. W|cappellano|barolo 2000 1|it|r|??|??|??|2000|13.5|??|medio|carne vermelha, massas, queijos curados|seco
71. W|cappellano|barolo 2001 1|it|r|??|??|??|2001|13.5|??|medio|carne vermelha, massas, queijos curados|seco
72. W|cappellano|barolo 2003 1|it|r|??|??|??|2003|13.5|??|medio|carne vermelha, massas, queijos curados|seco
73. W|cappellano|barolo 2005 1|it|r|??|??|??|2005|13.5|??|medio|carne vermelha, massas, queijos curados|seco
74. W|cappellano|barolo 2010 1|it|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
75. W|cappellano|barolo chinato|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
76. W|cappellano|barolo chinato|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=75
77. W|cappellano|barolo chinato|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=75
78. W|cappellano|barolo chinato|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=75
79. W|cappellano|barolo chinato|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=75
80. W|cappellano|barolo chinato|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=75
81. W|cappellano|barolo chinato|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=75
82. W|cappellano|barolo chinato|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=75
83. W|cappellano|barolo chinato|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=75
84. W|cappellano|barolo chinato|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=75
85. W|cappellano|barolo chinato|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=75
86. W|cappellano|barolo chinato|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=75
87. W|cappellano|barolo chinato|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=75
88. W|cappellano|barolo chinato|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=75
89. W|cappellano|barolo chinato|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=75
90. W|cappellano|barolo chinato|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=75
91. W|cappellano|barolo chinato|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=75
92. W|cappellano|barolo chinato|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
93. W|cappellano|barolo chinato 2017 2023 library release|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
94. W|cappellano|barolo chinato 2017 vintage|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
95. W|cappellano|barolo chinato|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
96. W|cappellano|barolo chinato 2022 vintage|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
97. W|cappellano|barolo chinato barolo chinato docg vino aromatizzato|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
98. W|cappellano|barolo chinato base 2016 piedmont italy|it|r|??|piedmont|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
99. W|cappellano|barolo chinato base|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
100. W|cappellano|barolo chinato base|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
101. W|cappellano|barolo chinato base|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=100
102. W|cappellano|barolo chinato base barolo|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
103. W|cappellano|barolo chinato base barolo|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=102
104. W|cappellano|barolo chinato lot lk124 nv|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
105. W|cappellano|barolo chinato nv|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
106. W|cappellano|barolo chinato nv|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=105
107. W|cappellano|barolo chinato nv|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=105
108. W|cappellano|barolo chinato piedmont base barolo 2018 italy|it|r|??|piedmont|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
109. W|cappellano|barolo chinato serralunga dalba|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
110. W|cappellano|barolo chinato serralunga dalba|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
111. W|cappellano|barolo chinato vino aromatizzato nv|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
112. W|cappellano|barolo docg otin fiorin pie rupestris|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
113. W|cappellano|barolo otin fiorin pie franc michet|it|r|??|??|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
114. W|cappellano|barolo otin fiorin pie franco|it|r|??|??|??|1998|13.5|??|medio|carne vermelha, massas, queijos curados|seco
115. W|cappellano|barolo otin fiorin pie franco|it|r|??|??|??|1998|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=114
116. W|cappellano|barolo otin fiorin pie franco|it|r|??|??|??|1999|13.5|??|medio|carne vermelha, massas, queijos curados|seco
117. W|cappellano|barolo otin fiorin pie franco|it|r|??|??|??|2001|13.5|??|medio|carne vermelha, massas, queijos curados|seco
118. W|cappellano|barolo otin fiorin pie franco|it|r|??|??|??|2004|13.5|??|medio|carne vermelha, massas, queijos curados|seco
119. W|cappellano|barolo otin fiorin pie franco|it|r|??|??|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
120. W|cappellano|barolo otin fiorin pie franco|it|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
121. W|cappellano|barolo otin fiorin pie franco|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
122. W|cappellano|barolo otin fiorin pie franco michet|it|r|??|??|??|2005|13.5|??|medio|carne vermelha, massas, queijos curados|seco
123. W|cappellano|barolo otin fiorin pie rupestris|it|r|??|??|??|1998|13.5|??|medio|carne vermelha, massas, queijos curados|seco
124. W|cappellano|barolo otin fiorin pie rupestris|it|r|??|??|??|1998|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=123
125. W|cappellano|barolo otin fiorin pie rupestris|it|r|??|??|??|1999|13.5|??|medio|carne vermelha, massas, queijos curados|seco
126. W|cappellano|barolo otin fiorin pie rupestris|it|r|??|??|??|2004|13.5|??|medio|carne vermelha, massas, queijos curados|seco
127. W|cappellano|barolo otin fiorin pie rupestris|it|r|??|??|??|2005|13.5|??|medio|carne vermelha, massas, queijos curados|seco
128. W|cappellano|barolo otin fiorin pie rupestris|it|r|??|??|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
129. W|cappellano|barolo otin fiorin pie rupestris|it|r|??|??|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=128
130. W|cappellano|barolo otin fiorin pie rupestris|it|r|??|??|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=128
131. W|cappellano|barolo otin fiorin pie rupestris|it|r|??|??|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=128
132. W|cappellano|barolo otin fiorin pie rupestris|it|r|??|??|??|2007|13.5|??|medio|carne vermelha, massas, queijos curados|seco
133. W|cappellano|barolo otin fiorin pie rupestris|it|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
134. W|cappellano|barolo otin fiorin pie rupestris|it|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
135. W|cappellano|barolo otin fiorin pie rupestris|it|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=134
136. W|cappellano|barolo otin fiorin pie rupestris|it|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
137. W|cappellano|barolo otin fiorin pie rupestris|it|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=136
138. W|cappellano|barolo otin fiorin pie rupestris|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
139. W|cappellano|barolo otin fiorin pie rupestris|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=138
140. W|cappellano|barolo otin fiorinpie franco|it|r|??|??|??|2004|13.5|??|medio|carne vermelha, massas, queijos curados|seco
141. W|cappellano|barolo otin florin pie rupestris piedmont italy|it|r|??|piedmont|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
142. W|cappellano|barolo pie franco|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
143. W|cappellano|barolo pie franco|it|r|??|??|??|2004|13.5|??|medio|carne vermelha, massas, queijos curados|seco
