1. W|caprili|brunello di montalcino dop|it|r|??|??|??|2020|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
2. W|caprili|brunello di montalcino riserva|it|r|??|??|??|2010|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
3. W|caprili|brunello di montalcino riserva|it|r|??|??|??|2015|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
4. W|caprili|brunello di montalcino riserva|it|r|??|??|??|2016|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
5. W|caprili|brunello di montalcino riserva adalberto|it|r|??|??|??|2015|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
6. W|caprili|brunello di montalcino riserva adalberto|it|r|??|??|??|2016|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
7. W|caprili|brunello di montalcino riserva adalberto|it|r|??|??|??|2016|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=6
8. W|caprili|brunello di montalcino riserva adalberto|it|r|??|??|??|2018|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
9. W|caprili|brunello di montalcino tuscany italy|it|r|??|tuscany|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
10. W|caprili|ilex sangiovese|??|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
11. W|caprili|ilex sangiovese toscana rosso igt|it|r|sangiovese|toscana|??|NV|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
12. W|caprili|moscadello di montalcino moscadello di montalcino doc 2021 vino dolce|it|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
13. W|caprili|rosso de montalcino dop|it|r|??|??|??|2023|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
14. W|caprili|rosso di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
15. W|caprili|rosso di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=14
16. W|caprili|rosso di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=14
17. W|caprili|rosso di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=14
18. W|caprili|rosso di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=14
19. W|caprili|rosso di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=14
20. W|caprili|rosso di montalcino|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
21. W|caprili|rosso di montalcino|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
22. W|caprili|rosso di montalcino|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
23. W|caprili|rosso di montalcino|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
24. W|caprili|rosso di montalcino|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
25. W|caprili|rosso di montalcino|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
26. W|caprili|rosso di montalcino|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=25
27. W|caprili|rosso di montalcino|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=25
28. W|caprili|rosso di montalcino|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
29. W|caprili|rosso di montalcino doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
30. W|caprili|rosso di montalcino mgm rosso di montalcino dop 2023 vino rosso|it|r|??|??|??|2023|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
31. W|caprili|rosso di montalcino rosso di montalcino dop 2022 vino rosso|it|r|??|??|??|2022|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
32. W|caprili|rosso di montalcino rosso di montalcino dop 2024 vino rosso|it|r|??|??|??|2024|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
33. W|caprili|rosso di montaltino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
34. W|caprili|sangiovese ilex|??|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
35. W|caprili|sangiovese ilex|??|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=34
36. W|caprili|settimia vermentino toscana|it|w|vermentino|toscana|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
37. W|caprili|vermentino settimia|??|w|vermentino|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
38. W|caprilius|caprilius|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
39. W|caprinelle|tomme de chevre|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
40. W|caprinelle|tomme de chevre|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=39
41. W|caprino|caprino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
42. W|caprino|al tartufo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
43. W|caprino|cremosa al tartufo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
44. W|caprino|el de sereix in olio di oliva|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
45. W|caprino|garrotxa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
46. W|caprino|stagionato in fossa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
47. W|caprino|sudao|pt|r|??|dao|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
48. W|caprino|treated with hay latteria perenzin|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
49. W|caprio cellars|eleanor estate red blend|??|r|red blend|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
50. W|caprio cellars|eleanor estate red blend|??|r|red blend|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=49
51. W|caprio cellars|eleanor estate red blend|??|r|red blend|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
52. W|caprio cellars|estate red wine|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
53. W|caprio cellars|red label cabernet|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
54. W|caprio cellars|red label cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
55. W|capriole|mont st francis|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
56. W|capriole|obannon 6oz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
