1. W|cara|sur field blend tinto|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
2. W|cara|sur los nidos tinto vino sin filtrar sin clarificar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
3. W|cara|sur los nidos tinto vino sin filtrar sin clarificar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=2
4. W|cara|sur moscatel blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
5. W|cara|sur moscatel blanco|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
6. W|cara|sur moscatel blanco barreal argentina 2021 case|ar|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
7. W|cara|sur moscatel blanco barreal argentina|ar|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
8. W|cara|sur moscatel blanco vino sin filtrar sin clarificar|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
9. W|cara|sur moscatel blanco vino sin filtrar sin clarificar|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=8
10. W|cara|sur moscatel tinto 2021 calingasta valley argentina|ar|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
11. W|cara|sur moscatel tinto|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
12. W|cara|sur moscatel tinto barreal argentina 2020 case|ar|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
13. W|cara|sur moscatel tinto barreal argentina 2021 case|ar|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
14. W|cara|sur moscatel tinto finca maggio barreal|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
15. W|cara|sur moscatel tinto vino sin filtrar sin clarificar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
16. W|cara|sur moscatel tinto vino sin filtrar sin clarificar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=15
17. W|cara|sur naranjo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
18. W|cara|sur parcela la totora barreal argentina|ar|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
19. W|cara|sur parcela la totora barreal argentina|ar|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
20. W|cara|sur pergolas criollas blancas|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
21. W|cara|sur pergolas criollas blancas|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
