1. W|carballal|rias baixas albarino sete cepas|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
2. W|carballal|rias baixas cepas viejas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
3. W|carballal|sete cepas albarino|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
4. W|carballal|sete cepas en rama albarino rias baixas spain|es|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
5. W|carballal|vasquez sete cepas albarino rias baixas|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
6. W|carballo|galego|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
7. W|carballo|galego|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
8. W|carballo|pack regalo malvasia aromatica|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
9. W|carbean|rom|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
10. W|carbenet|sauvignon|??|r|sauvignon|??|??|NV|13.5|??|leve|carne vermelha, massas, queijos curados|seco
11. W|carbenet|sauvignon domaine de la deviniere|??|r|sauvignon|??|??|NV|13.5|??|leve|carne vermelha, massas, queijos curados|seco
12. W|carbfree|mix1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
13. W|carbfree|mix2|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
14. W|carbia|carbia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
15. W|carbia|carbia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=14
16. W|carbliss|black cherry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
17. W|carbliss|black raspberry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
18. W|carbliss|classic bliss variety|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
19. W|carbliss|cocktail collection variety|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
20. W|carbliss|cocktail variety 8pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
21. W|carbliss|cocktail variety 8pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=20
22. W|carbliss|cocktails strawberry margarita 4pk12oz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
23. X
24. W|carbliss|cranberry cocktail|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
25. W|carbliss|lemon lime|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
26. W|carbliss|margarita bliss variety|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
27. W|carbliss|margarita variety 8 pack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
28. W|carbliss|margarita variety 8pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
29. W|carbliss|tropical bliss variety|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
30. W|carbliss|tropical bliss variety 8pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
31. W|carbliss|tropical bliss variety 8pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=30
32. W|carbliss|variety pack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
33. W|carbliss|variety pack cocktail|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
34. W|carbo|carbo|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
35. W|carbo|carbo|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
36. W|carbo|carbo|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=35
37. W|carbo|bianco 2020 ruvido|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
38. W|carbo|culte|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
39. W|carbo|culte|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=38
40. W|carbo|etrusco bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
41. W|carbo|rosso 2020 ruvido|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
42. W|carbo|rosso|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
43. W|carbocisteine|50mgml oral drops|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
