1. W|cardhu|12yo single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
2. W|cardhu|12yr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
3. W|cardhu|12yr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=2
4. W|cardhu|12yr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=2
5. W|cardhu|12yr single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
6. W|cardhu|14 ani special release|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
7. W|cardhu|14 ans 555 special release|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
8. W|cardhu|14 ars special release 2019 55|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
9. W|cardhu|14 ars special release 2021 555|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
10. W|cardhu|14 eves special release 2021 07 pdd 555|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
11. W|cardhu|14 legends untold special release|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
12. W|cardhu|14 y srelease|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
13. W|cardhu|14 year old|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
14. W|cardhu|14 year old special release|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
15. W|cardhu|14 year old special release|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
16. W|cardhu|14 year old special release|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=15
17. W|cardhu|14 years old cask strength|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
18. W|cardhu|14 years old special release|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
19. W|cardhu|14 years old special release|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
20. W|cardhu|14 years old special release|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=19
21. W|cardhu|14 years old special release|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=19
22. W|cardhu|14 years special release|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
23. W|cardhu|14 yo special release|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
24. W|cardhu|14anni special release|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
25. W|cardhu|14yo 2021 special release 555|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
