1. W|carema|doc vigne alte 2022 sorpasso|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
2. W|carema|docg 2022 cantina eporedia|??|r|??|??|??|2022|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
3. W|carema|etichetta bianca|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
4. W|carema|etichetta bianca|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=3
5. W|carema|etichetta bianca riserva|??|r|??|??|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
6. W|carema|etichetta nera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
7. W|carema|etichetta nera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=6
8. W|carema|etichetta nera|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
9. W|carema|etichetta nera carema cantina produttori|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
10. W|carema|etichetta nera ferrando|??|r|??|??|??|2018|13.5|do|medio|carne vermelha, massas, queijos curados|seco
11. W|carema|ferrando|??|r|??|??|??|2000|13.5|do|medio|carne vermelha, massas, queijos curados|seco
12. W|carema|ferrando etichetta bianca|??|r|??|??|??|2019|13.5|do|medio|carne vermelha, massas, queijos curados|seco
13. W|carema|ferrando etichetta nera|??|r|??|??|??|2020|13.5|do|medio|carne vermelha, massas, queijos curados|seco
14. W|carema|g troglia|??|r|??|??|??|1973|13.5|??|medio|carne vermelha, massas, queijos curados|seco
15. W|carema|g troglia|??|r|??|??|??|1973|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=14
16. W|carema|gtroglia|??|r|??|??|??|1973|13.5|??|medio|carne vermelha, massas, queijos curados|seco
17. W|carema|la costa monte maletto carema to|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
18. W|carema|larsin doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
19. W|carema|luigi ferrando doc|??|r|??|??|??|1967|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
20. W|carema|luigi ferrando docg|??|r|??|??|??|1966|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
21. W|carema|luigi ferrando docg|??|r|??|??|??|1970|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
22. W|carema|morbelli docg|??|r|??|??|??|1974|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
23. W|carema|morbelli docg|??|r|??|??|??|1975|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
24. W|carema|nebbiolo|??|r|nebbiolo|??|??|1967|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
25. W|carema|nebbiolo docg|??|r|nebbiolo|??|??|1980|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
26. W|carema|patlu|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
27. W|carema|patlu|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
28. W|carema|patlu doc 2021 muraje|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
29. W|carema|produttori 1964 carema red label|??|r|??|??|??|1964|13.5|??|medio|carne vermelha, massas, queijos curados|seco
30. W|carema|produttori 1966 carema red label|??|r|??|??|??|1966|13.5|??|medio|carne vermelha, massas, queijos curados|seco
31. W|carema|produttori 1968 carema red label|??|r|??|??|??|1968|13.5|??|medio|carne vermelha, massas, queijos curados|seco
32. W|carema|produttori 1969 carema red label|??|r|??|??|??|1969|13.5|??|medio|carne vermelha, massas, queijos curados|seco
33. W|carema|produttori 1970 carema red label|??|r|??|??|??|1970|13.5|??|medio|carne vermelha, massas, queijos curados|seco
34. W|carema|produttori 1971 carema red label|??|r|??|??|??|1971|13.5|??|medio|carne vermelha, massas, queijos curados|seco
35. W|carema|produttori 1973 carema red label|??|r|??|??|??|1973|13.5|??|medio|carne vermelha, massas, queijos curados|seco
36. W|carema|produttori 1974 carema red label|??|r|??|??|??|1974|13.5|??|medio|carne vermelha, massas, queijos curados|seco
37. W|carema|produttori 1975 carema red label|??|r|??|??|??|1975|13.5|??|medio|carne vermelha, massas, queijos curados|seco
38. W|carema|produttori 1975 carema white label|??|w|??|??|??|1975|12.5|??|medio|peixes, frutos do mar, saladas|seco
39. W|carema|produttori 1976 carema red label|??|r|??|??|??|1976|13.5|??|medio|carne vermelha, massas, queijos curados|seco
40. W|carema|produttori 1978 carema red label|??|r|??|??|??|1978|13.5|??|medio|carne vermelha, massas, queijos curados|seco
41. W|carema|produttori 1980 carema red label|??|r|??|??|??|1980|13.5|??|medio|carne vermelha, massas, queijos curados|seco
42. W|carema|produttori 1981 carema red label|??|r|??|??|??|1981|13.5|??|medio|carne vermelha, massas, queijos curados|seco
43. W|carema|produttori 1983 carema|??|r|??|??|??|1983|13.5|??|medio|carne vermelha, massas, queijos curados|seco
44. W|carema|produttori 1983 carema white label|??|w|??|??|??|1983|12.5|??|medio|peixes, frutos do mar, saladas|seco
45. W|carema|produttori 1984 carema red label|??|r|??|??|??|1984|13.5|??|medio|carne vermelha, massas, queijos curados|seco
46. W|carema|produttori 1985 carema white label|??|w|??|??|??|1985|12.5|??|medio|peixes, frutos do mar, saladas|seco
47. W|carema|produttori 1998 carema white label|??|w|??|??|??|1998|12.5|??|medio|peixes, frutos do mar, saladas|seco
48. W|carema|produttori 2013 nebbiolo di carema riserva etichetta bianca|??|r|nebbiolo|??|??|2013|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
49. W|carema|produttori 2015 carema riserva|??|r|??|??|??|2015|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
50. W|carema|produttori 2017 nebbiolo di carema|??|r|nebbiolo|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
51. W|carema|produttori di carema classico|??|r|??|??|??|2020|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
52. W|carema|riserva|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
53. W|carema|riserva|??|r|??|??|??|2018|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
54. W|carema|riserva|??|r|??|??|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
55. W|carema|riserva|??|r|??|??|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=54
56. W|carema|riserva cantina produttori|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
57. W|carema|riserva doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
58. W|carema|riserva doc|??|r|??|??|??|2018|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
59. W|carema|riserva doc|??|r|??|??|??|2018|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=58
60. W|carema|riserva doc 2018 magnum muraje|??|r|??|??|??|2018|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
61. W|carema|riserva doc 2018 muraje|??|r|??|??|??|2018|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
62. W|carema|riserva produttori del carema|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
63. W|carema|selezione produttori del carema|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
64. W|carema|sole e roccia doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
65. W|carema|sole e roccia doc 2022 monte maletto|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
66. W|carema|sole e roccia doc 2023 monte maletto|??|r|??|??|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
67. W|carema|sole e roccia monte maletto carema to|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
68. W|carema|sumie|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
69. W|carema|sumie doc 2022 magnum muraje|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
70. W|carema|sumie doc 2022 muraje|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
71. W|careme|careme|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
72. W|careme|vouvray le clos|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
73. W|careme|vouvray sec|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
74. W|careme|vouvray sec|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
75. W|careme|filo pastry 375g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
76. W|careme|pastry all butter puff pastry 375g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
77. W|careme|pastry spelt wholemeal butter puff pastry 375g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
78. W|careme|terre brulee le blanc|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
79. W|careme|terre brulee le blanc|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco|=78
80. W|careme|terre brulee rouge|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
81. W|careme|terre brulee rouge|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=80
82. W|careme|vincent 2021 vouvray le clos|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
83. W|caremenere|ola po santa irene|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
84. W|carenes|blanc doq priorat 2021 josep grau|es|w|??|??|??|2021|12.5|doq|medio|peixes, frutos do mar, saladas|seco
85. W|carenes|blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
86. W|carente|de todo|??|r|??|??|??|2020|13.5|do|medio|carne vermelha, massas, queijos curados|seco
87. W|carerese|aglianico riserva|??|r|aglianico|??|??|2016|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
88. X
89. W|caresana|ruche di castagnole monferrato docg pierfrancesco gatto|fr|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
90. W|caress|adult diaper basic large 10s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
91. W|caress|adult diaper basic large 2s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
92. W|caress|adult diaper basic medium 10s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
93. W|caress|adult diaper basic medium 10s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=92
94. W|caress|adult diaper basic medium 1s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
95. W|caress|adult diaper basic medium x 10 pcs 1 free|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
96. W|caress|adult diaper basic xl 10s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
97. W|caress|adult diaper l 10pads|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
98. W|caress|adult diaper maxi overnight large 8s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
99. W|caress|adult diaper maxi overnight large 8s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=98
100. W|caress|adult diaper maxi overnight medium 10s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
101. W|caress|adult diaper maxi overnight medium 10s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=100
102. W|caress|adult diaper underpads large 8s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
103. W|caress|basic adult diaper large 10s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
104. W|caress|basic adult diaper large 10s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=103
105. W|caress|basic adult diaper large 10s 1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
106. W|caress|basic adult diaper large 20s 2 pads|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
107. W|caress|basic adult diaper large 2s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
108. W|caress|basic adult diaper medium 1 pad|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
109. W|caress|basic adult diaper medium 10s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
110. W|caress|basic adult diaper medium 10s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=109
111. W|caress|basic adult diaper medium 10s 1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
112. W|caress|basic adult diaper medium 20s 2s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
113. W|caress|basic adult diaper medium x 20 pcs 2 free|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
114. W|caress|basic adult diaper xl 10s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
115. W|caress|basic adult diaper xl 10s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=114
116. W|caress|basic adult diaper xl x 10 pcs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
117. W|caress|basic adult diaper xlarge 10s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
118. W|caress|basic adult diapers large|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
119. W|caress|maternity pads 8s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
120. W|caress|maternity pads 8s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=119
121. W|caress|maxi overnight large 8s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
122. W|caress|underpads large 8s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
123. W|caress|underpads large 8s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=122
124. W|caress|underpads medium 10s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
125. W|caress|underpads medium 10s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=124
126. W|caress|underpads medium x 10 pcs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
127. W|caress|underpads xl 8s 1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
128. W|caress|underpads xl x 8 pcs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
129. W|caress|underpads xlarge 8s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
130. W|caress|xl adult diaper 10s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
