1. W|carl|joseph hoch deidesheimer leinhohle tba riesling|??|w|riesling|??|??|1976|12.5|??|leve|peixes, frutos do mar, saladas|seco
2. W|carl|jung 6er mischpaket pioniere des alkoholfreien alkoholfreie weine und sekte|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
3. W|carl|jung alkoholfri tysk hvidvin|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
4. W|carl|jung alkoholfri tysk rdvin|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
5. W|carl|jung bio chardonnay alkoholfrei wein alkoholfrei|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
6. W|carl|jung bio mousseux alkoholfrei|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
7. W|carl|jung bio mousseux alkoholfreie alternative zu sekt|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
8. W|carl|jung blanc de blancs alkoholfrei|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
9. W|carl|jung blanc de blancs chardonnay alkoholfreie alternative zu sekt|??|s|chardonnay|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
10. W|carl|jung blanc des blancs|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
11. W|carl|jung cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
12. W|carl|jung cabernet sauvignon 0 alcohol nv|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
13. W|carl|jung cabernet sauvignon alkoholfrei|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
14. W|carl|jung cabernet sauvignon alkoholfrei wein alkoholfrei|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
15. W|carl|jung cabernet sauvignon alkoholfreier wein|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
16. W|carl|jung cabernet sauvignon alkoholfreier wein|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=15
17. W|carl|jung cabernet sauvignon non alcoholic red wine|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
18. W|carl|jung cabernet sauvignon nonalcoholic wine|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
19. W|carl|jung chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
20. W|carl|jung chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=19
21. W|carl|jung chardonnay 0 alcohol nv|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
22. W|carl|jung chardonnay 05|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
23. W|carl|jung chardonnay 05|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=22
24. W|carl|jung chardonnay 05 alcoholvrij|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
25. W|carl|jung chardonnay 05 alkoholfri|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
26. W|carl|jung chardonnay alkoholfrei|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
27. W|carl|jung chardonnay alkoholfrei|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=26
28. W|carl|jung chardonnay alkoholfrei wein alkoholfrei|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
29. W|carl|jung chardonnay alkoholfreier wein|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
30. W|carl|jung chardonnay organic|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
31. W|carl|jung chardonnay organic alkoholfrei|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
32. W|carl|jung cuvee rot 0 alcohol nv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
33. W|carl|jung cuvee rot alkoholfrei|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
34. W|carl|jung cuvee rot alkoholfrei|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=33
35. W|carl|jung cuvee rot alkoholfreier rotwein|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
36. W|carl|jung cuvee rot alkoholfri|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
37. W|carl|jung cuvee rotwein alkoholfrei wein alkoholfrei|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
38. W|carl|jung cuvee trocken 0 alcohol nv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
39. W|carl|jung cuvee weiss alkoholfrei|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
40. W|carl|jung cuvee weiss nv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
41. W|carl|jung cuvee weiss trocken alkoholfrei|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
42. W|carl|jung cuvee weiwein alkoholfrei wein alkoholfrei|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
43. W|carl|jung cuvee weiwein trocken alkoholfrei wein alkoholfrei|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
44. W|carl|jung cuvee white 0 alcohol nv|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
45. W|carl|jung gluhchen alkoholfrei fruchtiger winterpunsch mit gewurzen|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
46. W|carl|jung merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
47. W|carl|jung merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=46
48. W|carl|jung merlot 0|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
49. W|carl|jung merlot 0|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=48
50. W|carl|jung merlot 0|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=48
51. W|carl|jung merlot 0|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=48
52. W|carl|jung merlot 0 alcohol nv|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
53. W|carl|jung merlot alkoholfrei|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
54. W|carl|jung merlot alkoholfreier wein|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
55. W|carl|jung merlot non alcoholic red wine|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
56. W|carl|jung merlot nonalcoholic wine|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
57. W|carl|jung merlot organic|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
58. W|carl|jung merlot organic alkoholfrei|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
59. W|carl|jung merlot rotwein alkoholfrei wein alkoholfrei|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
60. W|carl|jung mousseux 0 alcohol nv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
61. W|carl|jung mousseux 05|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
62. W|carl|jung mousseux 05|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=61
63. W|carl|jung mousseux 05 alcoholvrij|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
64. W|carl|jung mousseux 05 alkoholfri|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
65. W|carl|jung mousseux alkoholfrei|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
66. W|carl|jung mousseux alkoholfreie alternative zu sekt|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
67. W|carl|jung mousseux dry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
68. W|carl|jung mousseux organic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
69. W|carl|jung mousseux peach alkoholfreie alternative zu sekt|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
70. W|carl|jung mousseux riesling alkoholfreie alternative zu sekt|??|s|riesling|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
71. W|carl|jung mousseux rose 05|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
72. W|carl|jung mousseux rose 05|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=71
73. W|carl|jung mousseux rose 05 alkoholfri|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
74. W|carl|jung mousseux rose alkoholfrei|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
75. W|carl|jung mousseux rose alkoholfreie alternative zu sekt|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
76. W|carl|jung mousseux wino bezalkoholowe 0 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
77. W|carl|jung nealko merlot 0|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
78. W|carl|jung non alcoholic sparkling|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
79. W|carl|jung nonalcoholic mousseux sparkling wine|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
80. W|carl|jung riesling|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
81. W|carl|jung riesling|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=80
82. W|carl|jung riesling alkoholfrei|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
83. W|carl|jung riesling feinherb|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
84. W|carl|jung riesling feinherb 0 alcohol nv|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
85. W|carl|jung riesling feinherb alkoholfrei|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
86. W|carl|jung riesling feinherb alkoholfrei wein alkoholfrei|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
87. W|carl|jung riesling feinherb bezalkoholowe|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
88. W|carl|jung riesling non alcoholic white wine|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
89. W|carl|jung riesling nv|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
90. W|carl|jung rose alkoholfrei|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
91. W|carl|jung rose alkoholfreier wein|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
92. W|carl|jung rose de alcoholised rhein germany|de|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
93. W|carl|jung rose non alcoholic|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
94. W|carl|jung rose nv|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
95. W|carl|jung rose sparkling nonalcoholic wine|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
96. W|carl|jung rosewein alkoholfrei wein alkoholfrei|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
97. W|carl|jung rosewijn 05 alcoholvrij|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
98. W|carl|jung sekt blanc de blancs|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
99. W|carl|jung shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
100. W|carl|jung shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=99
101. W|carl|jung shiraz alkoholfrei|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
102. W|carl|jung shiraz nv|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
103. W|carl|jung sparkling blanc de blancs 0 alcohol nv|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
104. W|carl|jung sparkling rose 0 alcohol nv|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
105. W|carl|jung sparkling white nv|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
106. W|carl|jung the herby alkoholfrei|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
107. W|carl|jung the herby nonalcoholic wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
108. W|carl|jung the herby wein alkoholfrei|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
109. W|carl|klomberg riesling|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
110. W|carl|koch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
111. W|carl|koch alte reben silvaner trocken|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
112. W|carl|koch chardonnay offpiste|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
113. W|carl|koch ck gewurztraminer orange|??|w|gewurztraminer|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
114. W|carl|koch ck pet nat|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
115. W|carl|koch ck riesling orange jazz it up|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
116. W|carl|koch el santo st laurent|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
117. W|carl|koch erster sack oppenheimer sacktrager riesling trocken|??|w|riesling|??|??|2014|12.5|??|leve|peixes, frutos do mar, saladas|seco
118. W|carl|koch jazz it up riesling orange|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
119. W|carl|koch kalkmergel spatburgunder|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
120. W|carl|koch kontakt st laurent|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
