1. W|carlos|i pahar 40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
2. W|carlos|i pedro ximenez|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
3. W|carlos|i pedro ximenez|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=2
4. W|carlos|i pedro ximenez px|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
5. W|carlos|i primero|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
6. W|carlos|i px|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
7. W|carlos|i px|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=6
8. W|carlos|i px cask|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
9. W|carlos|i px cask 403 gb i px 07 403 8410337088169|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
10. W|carlos|i px pedro ximenez|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
11. W|carlos|i reserva especial|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
12. W|carlos|i solera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
13. W|carlos|i solera especial anos 70 estuche|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
14. W|carlos|i solera especial pedro domecq anos 80|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
15. W|carlos|i solera gran reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
16. W|carlos|i solera gran reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=15
17. W|carlos|i solera gran reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=15
18. W|carlos|i solera gran reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=15
19. W|carlos|i solera gran reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=15
20. W|carlos|i solera gran reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=15
21. W|carlos|i solera gran reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=15
22. W|carlos|i solera gran reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=15
23. W|carlos|i solera gran reserva 0|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
24. W|carlos|i solera gran reserva 40|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
25. W|carlos|i solera gran reserva amontilla bar start kit|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
26. W|carlos|i solera gran reserva pedro ximenez 0|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
27. W|carlos|i solera grand reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
28. W|carlos|i tapon rosca anos 70|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
29. W|carlos|i xo imperial|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
30. X
31. W|carlos|ii solera reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
32. W|carlos|iii|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
33. W|carlos|iii|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=32
