1. W|carmel|road monterey chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
2. W|carmel|road monterey chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=1
3. W|carmel|road monterey pinot noi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
4. W|carmel|road monterey pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
5. W|carmel|road monterey pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=4
6. W|carmel|road monterey pinot noir|??|r|pinot noir|??|??|2003|13.5|??|medio|carne vermelha, massas, queijos curados|seco
7. W|carmel|road monterey pinot noir|??|r|pinot noir|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
8. W|carmel|road pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
9. W|carmel|road pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=8
10. W|carmel|road pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=8
11. W|carmel|road pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=8
12. W|carmel|road pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=8
13. W|carmel|road pinot noir 135|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
14. W|carmel|road pinot noir|??|r|pinot noir|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
15. W|carmel|road pinot noir|??|r|pinot noir|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
16. W|carmel|road pinot noir|??|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
17. W|carmel|road pinot noir|??|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=16
18. W|carmel|road pinot noir mont|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
19. W|carmel|road pinot noir monterey|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
20. W|carmel|road pinot noir monterey|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=19
21. W|carmel|road pinot noir monterey county|??|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
22. W|carmel|road pinot noir monterey county|??|r|pinot noir|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
23. W|carmel|road pinot noir monterey red california wine|us|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
24. W|carmel|road pinot noir monterrey|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
25. W|carmel|road pinot noir santa lucia highlands|??|r|pinot noir|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
26. W|carmel|road pinot noir santa lucia highlands|??|r|pinot noir|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=25
27. W|carmel|road santa lucia highlands pinot noir|??|r|pinot noir|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
28. W|carmel|road sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
29. W|carmel|road sauvignon blanc|??|w|sauvignon blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
30. W|carmel|road sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
31. W|carmel|road sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco|=30
32. W|carmel|road sauvignon blanc california|us|w|sauvignon blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
33. W|carmel|road sauvignon blanc california|us|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
34. W|carmel|road unoaked chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
35. W|carmel|road unoaked chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=34
36. W|carmel|sacramental|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
37. W|carmel|sacramental|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=36
38. W|carmel|sauv blanc selected|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
39. W|carmel|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
40. W|carmel|selected cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
41. W|carmel|selected cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=40
42. W|carmel|selected cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=40
43. W|carmel|selected cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
44. W|carmel|selected cabernet sauvignon 21|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
45. W|carmel|selected cabernet sauvignon damaged label|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
46. W|carmel|selected cabernet sauvignon kosher red wine|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
47. W|carmel|selected cabernet sauvignon kosher red wine|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=46
48. W|carmel|selected collection|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
49. W|carmel|selected emerald riesling chenin blanc|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
50. W|carmel|selected emerald riesling chenin blanc|??|w|riesling|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
51. W|carmel|selected emerald riesling chenin blanc|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=49
52. W|carmel|selected emerald riesling chenin blanc damaged labels|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
53. W|carmel|selected emerald rieslingchenin blanc 2017 kosher white wine|??|w|riesling|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
54. W|carmel|selected mediterranean blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
55. W|carmel|selected mediterranean blend 21|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
56. W|carmel|selected mediterranean blend damaged labels|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
57. W|carmel|selected mediterranean blend kosher red wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
58. W|carmel|selected mediterranean blend kosher red wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=57
59. W|carmel|selected mediterranean red blend|??|r|red blend|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
60. W|carmel|selected mediterranean style blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
61. W|carmel|selected merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
62. W|carmel|selected merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=61
63. W|carmel|selected merlot|??|r|merlot|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
64. W|carmel|selected merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=61
65. W|carmel|selected merlot damaged label|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
66. W|carmel|selected moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
67. W|carmel|selected moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=66
68. W|carmel|selected moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=66
