1. W|carpano|classico rosso vermouth|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
2. W|carpano|classico rosso vermouth|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=1
3. W|carpano|classico rosso vermouth 6 case|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
4. W|carpano|classico rosso vermouth nv|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
5. W|carpano|classico rosso vermut|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
6. W|carpano|classico sweet red vermouth|??|d|??|??|??|NV|10.5|classico|encorpado|sobremesas, frutas secas, queijos|doce
7. W|carpano|classico sweet vermouth|??|d|??|??|??|NV|10.5|classico|encorpado|sobremesas, frutas secas, queijos|doce
8. W|carpano|classico sweet vermouth|??|d|??|??|??|NV|10.5|classico|encorpado|sobremesas, frutas secas, queijos|doce|=7
9. W|carpano|classico sweet vermouth|??|d|??|??|??|NV|10.5|classico|encorpado|sobremesas, frutas secas, queijos|doce|=7
10. W|carpano|classico sweet vermouth|??|d|??|??|??|NV|10.5|classico|encorpado|sobremesas, frutas secas, queijos|doce|=7
11. W|carpano|classico vermouth|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
12. W|carpano|classico vermouth|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=11
13. W|carpano|classico vermouth|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=11
14. W|carpano|classico vermouth|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=11
15. W|carpano|classico vermouth|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=11
16. W|carpano|classico vermouth|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=11
17. W|carpano|classico vermouth|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=11
18. W|carpano|classico vermouth|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=11
19. W|carpano|classico vermouth|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=11
20. W|carpano|classico vermouth|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=11
21. W|carpano|classico vermouth|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=11
22. W|carpano|classico vermouth|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=11
23. W|carpano|classico vermouth 16 italy|it|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
24. W|carpano|classico vermouth bianco cl100|??|w|??|??|??|NV|12.5|classico|medio|peixes, frutos do mar, saladas|seco
25. W|carpano|classico vermouth di torino|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
26. W|carpano|classico vermouth nv|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
27. W|carpano|classico vermouth rosso|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
28. W|carpano|classico vermouth rosso|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=27
29. W|carpano|classico vermouth rosso cl100|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
30. W|carpano|classico vermouth rosso cl300|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
31. W|carpano|classico vermouthlt 1|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
32. W|carpano|classico vermut|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
33. W|carpano|dry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
34. W|carpano|dry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=33
35. W|carpano|dry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=33
36. W|carpano|dry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=33
37. W|carpano|dry 18|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
38. W|carpano|dry bianco blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
39. W|carpano|dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
40. W|carpano|dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=39
41. W|carpano|dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=39
42. W|carpano|dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=39
43. W|carpano|dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=39
44. W|carpano|dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=39
45. W|carpano|dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=39
46. W|carpano|dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=39
47. W|carpano|dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=39
48. W|carpano|dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=39
49. W|carpano|dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=39
50. W|carpano|dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=39
51. W|carpano|dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=39
52. W|carpano|dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=39
53. W|carpano|dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=39
54. W|carpano|dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=39
55. W|carpano|dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=39
56. W|carpano|dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=39
57. W|carpano|dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=39
58. W|carpano|dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=39
59. W|carpano|dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=39
60. W|carpano|dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=39
61. W|carpano|dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=39
62. W|carpano|dry vermouth 1 liter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
63. W|carpano|dry vermouth 18 italy|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
64. W|carpano|dry vermouth 375|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
65. W|carpano|dry vermouth italy|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
66. W|carpano|dry vermouth italy half bottle|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
67. W|carpano|dry vermouth nv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
68. W|carpano|dry vermouth nv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=67
69. W|carpano|dry vermut|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
70. W|carpano|dry white vermouth|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
71. W|carpano|formula antica|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
72. W|carpano|formula antica|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=71
73. W|carpano|mito|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
