1. W|carre|suino bisteca congelada pedaco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
2. W|carre|suino bisteca congelada pedaco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=1
3. W|carre|suino congelado 1kg|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
4. W|carre|suino congelado peso|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
5. W|carre|suino resfriado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
6. W|carre|suino resfriado pedaco|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
7. W|carre|suino seara reserva resfriado peca|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
8. W|carre|suino seara resfriado fatiado|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
9. W|carre|suino sem pele congelado frimesa aproximadamente 900g|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
10. W|carre|suisse chocolat au lait des alpages recette n31 bio 100g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
11. W|carre|suisse chocolat au lait eclats caramel sel rose bio 100g|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
12. W|carre|suisse chocolat noir eclats caramel sel de guerande bio 100g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
13. W|carre|suisse chocolat noir gingembre confit huile orange recette bio 100g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
14. W|carre|suisse recette n07 chocolat extra noir 85 selection du togo 100g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
15. W|carreau|blancs vrais|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
16. W|carreau|cuvee batarde|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
17. W|carreau|cuvee bonnes bondes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
18. W|carrecourbin|pommard 1er cru les grands epenots|??|r|??|??|??|2000|13.5|1er cru|medio|carne vermelha, massas, queijos curados|seco
19. W|carredueas|tinto|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
20. W|carreduenas|4 meses barrica bio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
21. W|carreduenas|crianza 2019 bio do cigales|??|r|??|??|??|2019|13.5|do|medio|carne vermelha, massas, queijos curados|seco
22. W|carreduenas|rosado|??|p|??|??|??|2024|12|do|leve|carne vermelha, massas, queijos curados|seco
23. W|carreduenas|tinto|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
24. X
25. X
26. X
27. W|carregador|apple usbc 20w power a branco md3j4zm a2347|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
28. W|carregador|de baterias bitmore branco sfio qi charging pad 10w|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
29. W|carregador|de baterias bitmore preto sfio qi charging pad 10w|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
30. W|carregador|de parede usbc agold 20w ca314 mp|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
31. W|carregador|dual joog pcontrole ps5 branco jgamacs05|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
32. W|carregador|go travel cplugue universal usba usbc branco azul|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
33. W|carregador|magnetico joog magcharger 3 em 1 mc1 qi2 preto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
34. W|carregador|portatil i2go ultra rapido 10000mah|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
35. W|carregador|portatil joog 10000mah jpbqi2 preto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
36. W|carregador|portatil joog 10kjg3 10000mah apenas com ios e magnetico de 15w|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
37. W|carregador|portatil joog powerbank 10kjg1 10000mah branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
38. W|carregador|portatil joog powerbank 10kjg1 10000mah porto usba y usbc preto|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
39. W|carregador|portatil joog powerbank 10kjg2 10000mah usb a e c purpura|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
40. W|carregador|turbo agold com cabo tipo c 40w mp|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
41. W|carregador|usbc apple 2 metros 240w branco atbi|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
42. W|carregador|veicular xiaomi 37w cporta dupla gds4147gl preto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
43. W|carregador|xiaomi sfio suporte mi 20w|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
44. W|carreira|da capela loureiro|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
45. W|carreira|na golden moments|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
46. W|carrel|jongieux rose de savoie|??|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
47. W|carrel|senger 23 mondeuse|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
48. W|carrel|senger 24 blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
49. W|carrel|senger 24 blanc|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
50. W|carrel|senger altitud ros|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
51. W|carrel|senger altitude 1161 blanc nv|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
52. W|carrel|senger jacquere|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
53. W|carrel|senger jongieux blanc jacquere 2023 c6|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
54. W|carrel|senger jongieux blanc jacquere 2024 c6|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
55. W|carrel|senger jongieux mondeuse murgers 2020 c6|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
56. W|carrel|senger jongieux rouge gamay 2023 c6|??|r|gamay|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
57. W|carrel|senger jongieux rouge mondeuse 2022 c6|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
58. W|carrel|senger jongieux rouge mondeuse|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
59. W|carrel|senger jongieux rouge mondeuse 2024 c6|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
60. W|carrel|senger roussette de savoie 2023 c6|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
61. W|carrel|senger roussette de savoie marestel|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
62. W|carrello|carrello|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
63. W|carrello|cucina in legno per portaverdura con 3 cestini cassetto portapane e ripiano in mattonelle tortora|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
64. W|carrement|o2y|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
