1. W|carruades|de lafite pauillac|fr|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
2. W|carruades|de lafite pauillac|fr|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=1
3. W|carruades|de lafite pauillac|fr|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
4. W|carruades|de lafite pauillac|fr|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
5. W|carruades|de lafite pauillac|fr|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
6. W|carruades|de lafite pauillac|fr|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=5
7. W|carruades|de lafite pauillac 2015 chateau lafite rothschild|fr|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
8. W|carruades|de lafite pauillac|fr|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
9. W|carruades|de lafite pauillac|fr|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=8
10. W|carruades|de lafite pauillac|fr|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=8
11. W|carruades|de lafite pauillac|fr|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
12. W|carruades|de lafite pauillac|fr|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
13. W|carruades|de lafite pauillac|fr|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=12
14. W|carruades|de lafite pauillac 2018 chateau lafite rothschild|fr|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
15. W|carruades|de lafite pauillac|fr|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
16. W|carruades|de lafite pauillac|fr|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=15
17. W|carruades|de lafite pauillac|fr|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=15
18. W|carruades|de lafite pauillac|fr|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
19. W|carruades|de lafite pauillac|fr|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=18
20. W|carruades|de lafite pauillac|fr|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=18
21. W|carruades|de lafite pauillac|fr|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=18
22. W|carruades|de lafite pauillac|fr|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=18
23. W|carruades|de lafite pauillac|fr|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
24. W|carruades|de lafite pauillac|fr|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=23
25. X
26. W|carruades|de lafite pauillac|fr|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
27. W|carruades|de lafite pauillac|fr|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=26
28. W|carruades|de lafite pauillac|fr|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=26
29. W|carruades|de lafite pauillac|fr|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=26
30. W|carruades|de lafite pauillac|fr|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
31. W|carruades|de lafite pauillac|fr|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
32. W|carruades|de lafite pauillac bordeaux france|fr|r|??|bordeaux|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
33. W|carruades|de lafite pauillac bordeaux france|fr|r|??|bordeaux|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=32
34. W|carruades|de lafite pauillac bordeaux france|fr|r|??|bordeaux|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=32
35. W|carruades|de lafite pauillac red|fr|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
36. W|carruades|de lafite pauillac red|fr|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
37. W|carruades|de lafite pauillac second vin du chateau lafiterothschild|fr|r|??|??|??|2008|13.5|??|medio|carne vermelha, massas, queijos curados|seco
38. W|carruades|de lafite pauillac second vin du chateau lafiterothschild|fr|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
39. W|carruades|de lafite pauillac second vin du chateau lafiterothschild|fr|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
40. W|carruades|de lafite pauillac second vin du chateau lafiterothschild|fr|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
