1. W|cartuxa|branco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
2. W|cartuxa|alentejo blanc 13 vol doc|pt|w|??|alentejo|??|2022|12.5|doc|medio|peixes, frutos do mar, saladas|seco
3. W|cartuxa|alentejo white wine|pt|w|??|alentejo|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
4. W|cartuxa|alfrocheiro tinto|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
5. W|cartuxa|bau edicao 60 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
6. W|cartuxa|bau selecao de vinhos 60 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
7. W|cartuxa|blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
8. W|cartuxa|blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=7
9. W|cartuxa|br|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
10. W|cartuxa|br|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=9
11. W|cartuxa|branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
12. W|cartuxa|branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=11
13. W|cartuxa|branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=11
14. W|cartuxa|branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=11
15. W|cartuxa|branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=11
16. W|cartuxa|branco|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
17. W|cartuxa|branco 2021 075|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
18. W|cartuxa|branco|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
19. W|cartuxa|branco colheita|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
20. X
21. W|cartuxa|branco colheita tardia|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
22. W|cartuxa|branco doc|??|w|??|??|??|2022|12.5|doc|medio|peixes, frutos do mar, saladas|seco
23. W|cartuxa|branco doc alentejo evora|pt|w|??|alentejo|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco
24. W|cartuxa|brut white sparkling wine|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
25. W|cartuxa|bruto branco|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
26. W|cartuxa|bruto rose|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
27. W|cartuxa|bundle special easter day|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
28. W|cartuxa|castelao tinto|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
29. W|cartuxa|colheita|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
30. W|cartuxa|colheita|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=29
31. W|cartuxa|colheita|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=29
32. W|cartuxa|colheita|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=29
33. W|cartuxa|colheita|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
34. W|cartuxa|colheita|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
35. W|cartuxa|colheita 2020 branco|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
36. W|cartuxa|colheita 2024 branco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
37. W|cartuxa|colheita alentejo branco|pt|w|??|alentejo|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
38. W|cartuxa|colheita alentejo branco|pt|w|??|alentejo|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
39. W|cartuxa|colheita alentejo tinto|pt|r|??|alentejo|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
40. W|cartuxa|colheita branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
