1. W|carys|pinot gris|??|w|pinot gris|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
2. W|carys|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
3. W|cas|a punch vanille rhum arrange 25|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
4. W|cas|al mat intro timorasso|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
5. W|cas|cu boia 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
6. W|cas|cu ceapa verde|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
7. W|cas|cu chimen 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
8. W|cas|cu marar 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
9. W|cas|de capra baier lactate din transilvania|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
10. W|cas|de capra cu marar baier lactate din transilvania|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
11. W|cas|de capra cu oregano baier lactate din transilvania|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
12. W|cas|de capra cu praz baier lactate din transilvania|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
13. W|cas|de oi in saramura 45kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
14. W|cas|maturat 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
15. W|cas|maturat 3 luni|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
16. W|cas|maturat 3 luni 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
17. W|cas|maturat 6 luni|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
18. W|cas|maturat 6 luni 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
19. W|cas|maturat 9 luni 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
20. W|cas|original sk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
21. W|cas|tell me vdp gutswein furstlich castellsche domane franken|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
22. W|cas|tell me white 2023 castell|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
23. W|casa 075|075|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
24. W|casa 1560|anejo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
25. W|casa 1560|anejo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=24
26. W|casa 1560|blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
27. W|casa 1560|blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=26
28. W|casa 1560|private selection extra anejo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
29. W|casa 1560|private selection extra anejo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=28
30. W|casa 1560|reposado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
31. W|casa 1560|reposado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=30
32. W|casa 173|blend tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
33. W|casa 1808|rotwein trocken|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
34. W|casa 1910|cuchillo parado robusto 5x50|??|r|??|??|??|1910|13.5|do|medio|carne vermelha, massas, queijos curados|seco
35. W|casa 1921|anejo|??|r|??|??|??|1921|13.5|??|medio|carne vermelha, massas, queijos curados|seco
36. W|casa 1921|blanco 3pack|??|w|??|??|??|1921|12.5|??|medio|peixes, frutos do mar, saladas|seco
37. W|casa 1921|reposado|??|r|??|??|??|1921|13.5|??|medio|carne vermelha, massas, queijos curados|seco
38. X
