1. W|casa coste|piane valdobbiadene prosecco docg|it|s|??|??|??|NV|12|docg|leve|frutos do mar, aperitivos, sushi|brut
2. W|casa coste|piane valdobbiadene prosecco docg|it|s|??|??|??|NV|12|docg|leve|frutos do mar, aperitivos, sushi|brut|=1
3. W|casa coste|piane valdobbiadene prosecco docg brut|it|s|??|??|??|NV|12|docg|leve|frutos do mar, aperitivos, sushi|brut
4. W|casa coste|piane valdobbiadene prosecco docg frizzante naturalmente|it|s|??|??|??|NV|12|docg|leve|frutos do mar, aperitivos, sushi|brut
5. W|casa coste|piane valdobbiadone prosecco|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
6. W|casa crebar|cabernet sauvignon reserva|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
7. W|casa crebar|carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
8. W|casa crebar|carmenere gran reserva|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
9. W|casa crebar|carmenere reserva|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
10. W|casa criolla|arcones navidenos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
11. W|casa cuba|flor fina doble cuatro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
12. W|casa cubista|black tube neck vessel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
13. W|casa cubista|bold stripe pitcher|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
14. W|casa cubista|bold stripe pitcher|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=13
15. W|casa cubista|cabana large garafe|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
16. W|casa cubista|cabana large gourd|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
17. W|casa cubista|cabana large jug|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
18. W|casa cubista|coluna vase natural|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
19. W|casa cubista|dipped column vase terracotta white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
