1. W|casa madero|chardonnay mexico|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
2. W|casa madero|chardonnay valle de parras|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
3. W|casa madero|chardonnay varios tamanos|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
4. W|casa madero|chenin blanc uvas organicas|pt|w|chenin blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
5. W|casa madero|chenin blanc uvas organicas|pt|w|chenin blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=4
6. W|casa madero|gran reserva 1597|pt|r|??|??|??|NV|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
7. W|casa madero|gran reserva 3v|pt|r|??|??|??|NV|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
8. W|casa madero|gran reserva 3v|pt|r|??|??|??|NV|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco|=7
9. W|casa madero|gran reserva 3v|pt|r|??|??|??|NV|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco|=7
10. W|casa madero|gran reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
11. W|casa madero|gran reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco|=10
12. W|casa madero|gran reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco|=10
13. W|casa madero|gran reserva cabernet sauvignon 2019|pt|r|cabernet sauvignon|??|??|2019|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
14. W|casa madero|gran reserva chardonnay|pt|w|chardonnay|??|??|NV|12.5|gran reserva|leve|frutos do mar, peixes, saladas|seco
15. W|casa madero|gran reserva malbec|pt|r|malbec|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
16. W|casa madero|gran reserva malbec|pt|r|malbec|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco|=15
17. W|casa madero|gran reserva malbec|pt|r|malbec|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco|=15
18. W|casa madero|gran reserva malbec|pt|r|malbec|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco|=15
19. W|casa madero|gran reserva shiraz|pt|r|shiraz|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
20. W|casa madero|gran reserva shiraz|pt|r|shiraz|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco|=19
21. W|casa madero|gran reserva shiraz|pt|r|shiraz|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco|=19
22. W|casa madero|gran reserva shiraz|pt|r|shiraz|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco|=19
23. W|casa madero|gran rva 3v|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
24. W|casa madero|gran rva chardonnay 750 mlt 139|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
25. W|casa madero|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
26. W|casa madero|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=25
27. W|casa madero|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=25
28. W|casa madero|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=25
29. W|casa madero|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=25
30. W|casa madero|malbec 750 mlt 139|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
