1. W|casa relvas|alicante bouschet tinto 2022 igp alentejo|pt|r|alicante bouschet|alentejo|??|2022|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
2. W|casa relvas|alicante bouschet vinha de sao miguel tinto 2021 1|pt|r|alicante bouschet|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
3. W|casa relvas|aragonez|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
4. W|casa relvas|aragonez|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=3
5. W|casa relvas aragonez|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
6. W|casa relvas aragonez alentejo|tinto 2021|pt|r|??|alentejo|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
7. W|casa relvas art terra|amphora|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
8. W|casa relvas artterra amphora|tinto 2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
9. W|casa relvas artterra portugal amphora|tinto 2017|pt|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
10. W|casa relvas atlantico|vinho tinto alentejo 2019|pt|r|??|alentejo|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
11. W|casa relvas|barricado|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
12. W|casa relvas barricado|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
13. W|casa relvas|chardonnay alentejo branco 2024|pt|w|chardonnay|alentejo|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
14. W|casa relvas|chardonnay branco|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
15. W|casa relvas|chardonnay branco 2024|pt|w|chardonnay|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
16. W|casa relvas|chardonnay branco 2024 075|pt|w|chardonnay|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
17. W|casa relvas ciconia|red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
18. W|casa relvas ciconia|reserva 0 tinto 2023|pt|r|??|??|??|2023|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
19. W|casa relvas ciconia|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
20. W|casa relvas dezassete|075 tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
21. W|casa relvas dezassete|2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
22. W|casa relvas dezassete 2x|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
23. W|casa relvas dezassete alentejo|tinto 2023|pt|r|??|alentejo|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
24. W|casa relvas dezassete alentejo|tinto 2023|pt|r|??|alentejo|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=23
25. W|casa relvas dezassete|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
26. W|casa relvas dezassete|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=25
27. W|casa relvas dezassete|tinto 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
28. W|casa relvas dezassete|tinto 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=27
29. W|casa relvas dezassete|tinto 2023 1|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
30. X
31. W|casa relvas dezassete|tinto 2023 ig alentejo|pt|r|??|alentejo|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
32. W|casa relvas grande escolha segredos de sao miguel|2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
33. W|casa relvas herdade da pimenta colheita|2017|pt|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
34. W|casa relvas herdade da pimenta grande escolha|2017|pt|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
35. W|casa relvas herdade de sao miguel|alicante bouschet 2015|pt|r|alicante bouschet|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
36. W|casa relvas herdade de sao miguel|tinto bot|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
37. W|casa relvas herdade sao miguel pe de|mae|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
38. W|casa relvas herdade sao miguel|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
39. W|casa relvas pimenta|blanco bot|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
40. W|casa relvas pimenta|tinto bot|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
41. W|casa relvas pom pom|2023 075|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
42. W|casa relvas pom pom alentejo|rose 2023|pt|p|??|alentejo|??|2023|12.5|??|leve|saladas, aves, queijos leves|seco
43. W|casa relvas pom pom alentejo|rose 2024|pt|p|??|alentejo|??|2024|12.5|??|leve|saladas, aves, queijos leves|seco
44. W|casa relvas pom pom|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
45. W|casa relvas pom pom|rose 2023|pt|p|??|??|??|2023|12.5|??|leve|saladas, aves, queijos leves|seco
46. W|casa relvas pom pom|rose 2024|pt|p|??|??|??|2024|12.5|??|leve|saladas, aves, queijos leves|seco
47. W|casa relvas pompom|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
48. W|casa relvas pompom|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
49. W|casa relvas pompom|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=48
50. W|casa relvas pompom|rose 2024|pt|p|??|??|??|2024|12.5|??|leve|saladas, aves, queijos leves|seco
51. W|casa relvas rabo de|ovelha|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
52. W|casa relvas rabo de|ovelha|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=51
53. W|casa relvas rabo de|ovelha|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=51
54. W|casa relvas rabo de ovelha|075 branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
55. W|casa relvas rabo de ovelha|2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
56. W|casa relvas rabo de ovelha alentejo|branco 2023|pt|w|??|alentejo|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
57. W|casa relvas rabo de ovelha|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
58. W|casa relvas rabo de ovelha|branco 2024|pt|w|??|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
59. W|casa relvas rabo de|ovellha|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
60. W|casa relvas|redondo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
61. W|casa relvas|redondo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=60
62. W|casa relvas redondo|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
63. W|casa relvas redondo|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=62
64. W|casa relvas redondo|tinto 2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
