1. W|casa silva|gran terroir los lingues cabernet sauvignon x|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
2. W|casa silva|gran terroir los lingues carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
3. W|casa silva|gran terroir los lingues carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=2
4. W|casa silva|gran terroir los lingues carmenere 2023|pt|r|carmenere|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
5. W|casa silva|gran terroir los lingues carmenere 2023|pt|r|carmenere|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=4
6. W|casa silva|gran terroir los lingues carmenere 2023 vivino 41|pt|r|carmenere|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
7. W|casa silva|gran terroir los lingues carmenere x|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
8. W|casa silva|gran terroir magnum|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
9. W|casa silva|gran terroir merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
10. W|casa silva|gran terroir petit verdot|pt|r|petit verdot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
11. W|casa silva|gran terroir syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
12. W|casa silva|gran terroir syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=11
13. W|casa silva|gran terroir syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=11
14. W|casa silva|gran terroir viognier|pt|w|viognier|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
15. W|casa silva|gran terroir viognier|pt|w|viognier|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=14
16. W|casa silva lago ranco|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
17. W|casa silva lago ranco|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=16
18. W|casa silva lago ranco|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=16
19. W|casa silva lago ranco|riesling|pt|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
20. W|casa silva lago ranco|riesling|pt|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=19
21. W|casa silva lago ranco|riesling|pt|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=19
22. W|casa silva lago ranco|riesling|pt|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=19
23. W|casa silva lago ranco|riesling 202223|pt|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
24. W|casa silva lago ranco|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
25. W|casa silva lago ranco|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=24
26. W|casa silva lago ranco|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=24
27. W|casa silva lago ranco|sauvignon blanc 2017|pt|w|sauvignon blanc|??|??|2017|12.5|??|leve|frutos do mar, peixes, saladas|seco
28. W|casa silva lago ranco|sauvignon blanc 202223|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
29. W|casa silva lago ranco|sauvignon blanc 2023|pt|w|sauvignon blanc|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
30. W|casa silva lago ranco|sauvignon blanc white dry 2021 12 075|pt|w|sauvignon blanc|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
31. W|casa silva|late harvest|pt|d|??|??|??|NV|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce
32. W|casa silva|late harvest|pt|d|??|??|??|NV|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce|=31
33. W|casa silva|late harvest|pt|d|??|??|??|NV|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce|=31
34. W|casa silva|late harvest|pt|d|??|??|??|NV|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce|=31
35. W|casa silva|late harvest|pt|d|??|??|??|NV|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce|=31
36. W|casa silva|late harvest gewurztraminer semillon viognier|pt|d|viognier, gewurztraminer|??|??|NV|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce
37. W|casa silva|late harvest gewurztraminer semillon viognier|pt|d|viognier, gewurztraminer|??|??|NV|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce|=36
38. W|casa silva|late harvest gewurztraminer semillon viognier|pt|d|viognier, gewurztraminer|??|??|NV|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce|=36
39. W|casa silva|late harvest semillion sauvignon blanc|pt|d|sauvignon blanc|??|??|NV|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce
40. W|casa silva|late harvest semillion sauvignon blanc|pt|d|sauvignon blanc|??|??|NV|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce|=39
41. W|casa silva|late harvest semillon|pt|d|??|??|??|NV|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce
42. W|casa silva|late harvest semillon gewurztraminer|pt|d|gewurztraminer|??|??|NV|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce
43. W|casa silva|late harvest semillongewurztraminer|pt|d|gewurztraminer|??|??|NV|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce
44. W|casa silva|late harvest semillongewurztraminer 2021|pt|d|gewurztraminer|??|??|2021|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce
45. W|casa silva|late harvest semillongewurztraminer 2021|pt|d|gewurztraminer|??|??|2021|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce|=44
46. W|casa silva|late harvest semillongewurztraminerviognier|pt|d|viognier, gewurztraminer|??|??|NV|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce
47. W|casa silva los lingues|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
48. W|casa silva los lingues|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=47
49. W|casa silva los lingues|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=47
50. W|casa silva los lingues|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=47
51. W|casa silva los lingues|cabernet savignon|pt|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
52. W|casa silva los lingues|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
53. W|casa silva los lingues|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=52
54. W|casa silva los lingues|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=52
55. W|casa silva los lingues|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=52
56. W|casa silva los lingues|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=52
57. W|casa silva los lingues|carmenere 2022|pt|r|carmenere|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
58. W|casa silva los lingues|carmenere 2022 colchagua|pt|r|carmenere|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
59. W|casa silva los lingues colchagua valley|carmenere 2023|pt|r|carmenere|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
60. W|casa silva los lingues|gran terroir carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
61. W|casa silva los lingues s38 single block|cabernet sauvignon 2023|pt|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
62. W|casa silva los lingues single block s38|cabernet sauvignon 2022|pt|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
63. W|casa silva los lingues|tinto 2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
64. W|casa silva los lingues vineyard|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
65. W|casa silva magnum|15 lts carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
66. W|casa silva micro terroir|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
67. W|casa silva micro terroir|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=66
68. W|casa silva micro terroir|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=66
69. W|casa silva microterroir|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
70. W|casa silva microterroir|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=69
71. W|casa silva microterroir|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=69
72. W|casa silva microterroir|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=69
73. W|casa silva microterroir|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=69
74. W|casa silva microterroir|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=69
75. W|casa silva microterroir|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=69
76. W|casa silva microterroir|carmenere 2019|pt|r|carmenere|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
77. W|casa silva microterroir|carmenere 2021|pt|r|carmenere|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
78. W|casa silva microterroir|carmenere 2021 95des|pt|r|carmenere|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
79. W|casa silva microterroir|carmenere 2022|pt|r|carmenere|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
80. W|casa silva microterroir|carmenere 2022|pt|r|carmenere|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=79
81. W|casa silva microterroir|carmenere 750cc|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
82. W|casa silva microterroir de los lingues|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
83. W|casa silva|moscatel negro|pt|w|moscatel|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
84. W|casa silva|organico ensamblaje blanco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
85. W|casa silva|organico tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
86. W|casa silva parras viejas|1912 romano|pt|r|??|??|??|1912|13.5|??|medio|carne vermelha, massas, queijos curados|seco
87. W|casa silva|petit verdot|pt|r|petit verdot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
88. W|casa silva|petit verdot gran reserva|pt|r|petit verdot|??|??|NV|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
89. W|casa silva|petit verdot gran terroir edicion limitada|pt|r|petit verdot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
90. W|casa silva|pinot noir reserva|pt|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
91. W|casa silva|pinot noir reserva|pt|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=90
92. W|casa silva|pinot noir reserva|pt|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=90
93. W|casa silva quinta 5th generacion|white|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
94. W|casa silva quinta|generacion|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
95. W|casa silva quinta|generacion|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=94
96. W|casa silva quinta|generacion|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=94
97. W|casa silva quinta generacion|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
98. W|casa silva quinta generacion|branco 2024|pt|w|??|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
99. W|casa silva quinta generacion ensamblaje|750cc|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
100. W|casa silva quinta generacion ensamblaje|blanco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
101. W|casa silva quinta generacion ensamblaje|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
102. W|casa silva quinta generacion|red blend|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
103. W|casa silva quinta generacion|red blend|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=102
104. W|casa silva quinta generacion|red blend ensamblaje|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
105. W|casa silva quinta generacion|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
106. W|casa silva quinta generacion|tinto 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
107. W|casa silva quinta5th generacion|red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
108. W|casa silva|red geschenk|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
109. W|casa silva|reserva 5 cepas|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
110. W|casa silva|reserva cabernet sauvignon 2023|pt|r|cabernet sauvignon|??|??|2023|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
111. X
112. W|casa silva|reserva cabernet sauvignon merlot terroir de familia|pt|r|cabernet sauvignon, merlot|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
113. W|casa silva|reserva carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
