1. W|casadei sogno mediterraneo|red wine mediterranean blend toscana italy 2017|pt|r|??|toscana|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
2. W|casadei sogno mediterraneo toscana|2022|pt|r|??|toscana|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
3. W|casadei sogno|red blend|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
4. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
5. W|casademont|1 100|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
6. W|casademont|100|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
7. W|casademont|110|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
8. W|casademont|150|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
9. W|casademont|250|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
10. W|casademont|70|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
11. W|casademont|90|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
12. W|casademont corneilla skin contact|orange|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
13. W|casademont corneilla skin contact|white|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
14. W|casademont corneilla skin contact|white|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=13
15. W|casademont|florange|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
16. W|casademont|florange|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=15
17. W|casademont|glounache|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
18. W|casademont glounache|red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
19. W|casademont glounache|red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=18
20. W|casademont got de vi|1 liter|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
21. W|casademont got de vi|red 1 liter|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
22. W|casademont got de vi|red 1 liter|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=21
23. W|casadio enea automatico|kaffeemuhle|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
24. W|casadio enea ondemand|kaffeemuhle|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
25. W|casadio nettuno a1 professionelle|kaffeemaschine|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
26. W|casadio nettuno s1 professionelle|kaffeemaschine|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
27. W|casado|46|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
28. W|casado morales|crianza|pt|r|??|??|??|NV|13.5|crianza|medio|carne vermelha, massas, queijos curados|seco
29. W|casado morales eme|malvasia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
