1. W|casali maniago|sauvignon|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
2. W|casali maniago|sauvignon blanc 2024|pt|w|sauvignon blanc|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
3. W|casali maniagocolli orientali|sauvignon blanc doc 2024|pt|w|sauvignon blanc|??|??|2024|12.5|doc|leve|frutos do mar, peixes, saladas|seco
4. W|casali original|schokobananen|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
5. W|casali pra di bosso storico lambrusco|reggiano|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
6. W|casali roncali friulano|2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
7. W|casali roncali|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
8. W|casali roncali schioppettino|2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
9. W|casali|rosato amabile 1900|pt|p|??|??|??|1900|12.5|??|leve|saladas, aves, queijos leves|seco
10. W|casali schoko bananen likor|0|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
11. W|casali schoko bananen ostertiere|125g|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
12. W|casali schokobananen likor|0|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
13. W|casali schokobananen likor|05|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
14. W|casali viticultori|1900 malbo gentile|pt|r|??|??|??|1900|13.5|??|medio|carne vermelha, massas, queijos curados|seco
15. W|casali viticultori|1900 malvasia|pt|r|??|??|??|1900|13.5|??|medio|carne vermelha, massas, queijos curados|seco
16. W|casalia montepulciano dabruzzo a|doc 2020|pt|r|montepulciano|??|??|2020|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
17. W|casalia montepulciano dabruzzo gocce di colli marzio|doc 2017|pt|r|montepulciano|??|??|2017|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
18. W|casalia montepulciano dabruzzo gocce di colli marzio|doc 2018|pt|r|montepulciano|??|??|2018|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
19. W|casalia montepulciano dabruzzo man|doc 2011|pt|r|montepulciano|??|??|2011|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
20. W|casalia montepulciano dabruzzo man|doc 2016|pt|r|montepulciano|??|??|2016|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
21. W|casalia montepulciano dabruzzo man|docg 2018|pt|r|montepulciano|??|??|2018|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
22. W|casalibre de otro planeta|cabernet franc 2022|pt|r|cabernet franc|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
23. W|casalibre minimo|2015|pt|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
24. W|casalibre minimo|2016|pt|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
25. W|casalibre minimo|2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
26. W|casalibre minimo|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
27. W|casalibre siete perros|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
28. W|casalina di siziano grillo|doc trocken 5 bib|pt|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
