1. W|casar de burbia|valdepineiro|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
2. W|casar de burbia valdepineiro gordello|barrica|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
3. W|casar|extra brut millesime 2019 valais varonier|pt|s|??|??|??|2019|12|??|leve|aperitivos, frutos do mar, sushi|extra brut
4. W|casar|godello|pt|w|godello|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
5. W|casar godello|bierzo|pt|w|godello|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
6. W|casar godello|fb|pt|w|godello|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
7. W|casar kilibe barrique|aoc valais c varonier sohne ag|pt|r|??|??|??|NV|13.5|aoc|medio|carne vermelha, massas, queijos curados|seco
8. W|casar|mencia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
9. W|casar passata di pomodoro|1kg|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
10. W|casar pflanowinja barrique|aoc valais c varonier sohne ag|pt|r|??|??|??|NV|13.5|aoc|medio|carne vermelha, massas, queijos curados|seco
11. W|casar schalomelhaltu|chardonnay aoc valais c varonier sohne ag|pt|w|chardonnay|??|??|NV|12.5|aoc|leve|frutos do mar, peixes, saladas|seco
12. W|casar zu grossu steina barrique|aoc valais c varonier sohne ag varen|pt|r|??|??|??|NV|13.5|aoc|medio|carne vermelha, massas, queijos curados|seco
13. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
14. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=13
15. W|casarecce|27 igp 500gm|pt|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
16. W|casarecce 500g|liguori|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
17. W|casarecce bio senatore|cappelli|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
18. W|casarecce calabrese meal|kit|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
19. W|casarecce di semola di grano|duro|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
20. W|casarecce linea|oro|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
21. W|casarecce|n88|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
22. W|casarecce n88|rummo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
23. W|casarecce no|87|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
24. W|casarecce no25bz divella trafilata al|bronzo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
25. W|casarecce pastificio|gentile|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
26. W|casarecce rummo|500g|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
27. W|casarecce rummo 500g|n88|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
28. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=13
29. W|casarecci grano duro trafilata al bronzo|500g|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
30. W|casareccia|500 rustichella dabruzzo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
31. W|casareccia 500g de|cecco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
32. W|casareccia gragnano|igp|pt|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
33. W|casareccia no88 de|cecco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
34. W|casarena|2014 estate sinco red blend lujan de cuyo mendoza argentina|ar|r|??|mendoza|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
35. W|casarena|505 cabernet sauvignon 2020|pt|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
36. W|casarena|505 chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
37. W|casarena|505 chardonnay 2023|pt|w|chardonnay|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
38. W|casarena|505 chardonnay 2024|pt|w|chardonnay|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
39. W|casarena|505 chardonnay white|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
40. W|casarena|505 chardonnay x|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
41. W|casarena|505 esencia 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
42. W|casarena|505 esencia red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
43. W|casarena|505 esencia red blend 2021 argentina|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
