1. W|cascade heights|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
2. W|cascade heights|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=1
3. W|cascade heights|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
4. W|cascade heights|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=3
5. W|cascade heights|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=3
6. W|cascade|hops|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
7. W|cascade hops british|columbia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
8. W|cascade hops|ontario|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
9. W|cascade hops|pellets|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
10. W|cascade|locks|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
11. W|cascade mango|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
12. W|cascade mango|road|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
13. W|cascade mango|road|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=12
14. W|cascade midnight|bramble|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
15. W|cascade moon|13 year old rye|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
16. W|cascade moon|13 year rye|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
17. W|cascade moon|15 year|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
18. W|cascade moon|15 year mellow as moonlight spirit|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
19. W|cascade moon|15 year old barrel proof|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
20. W|cascade moon|15 year old barrel proof|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=19
21. W|cascade moon 15yr|barrel proof spirit|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
22. W|cascade moon|aged 15 year barrel proof|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
23. W|cascade moon|aged 15 years barrel proof|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
24. W|cascade moon edition|1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
25. W|cascade moon edition no|2 150 years of george dickel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
26. W|cascade moon mellow as moonlight|barrel proof 15 year old spirit distilled from grain edition no 3|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
27. W|cascade moon rare|aged 13 year in the barrel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
28. X
29. X
30. X
31. W|cascade nectarine|2019 68|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
32. W|cascade northwest|flanders|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
33. W|cascade|noyaux|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
34. W|cascade oregon|summer|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
35. W|cascade|premium light|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
36. W|cascade|premium light|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=35
37. W|cascade|premium light bottle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
38. W|cascade|premium light case|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
39. W|cascade primordial|noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
40. W|cascade provisions believe in bigfoot|tote|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
41. W|cascade provisions four awesome sasquatch|magnets|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
42. W|cascade provisions oregon hearts|tote|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
43. W|cascade|rose city 2016|??|p|??|??|??|2016|12.5|??|leve|saladas, aves, queijos leves|seco
44. W|cascade sang|noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
45. W|cascade sang|rouge 2015|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
46. W|cascade|strawberry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
