1. W|cascina ghercina|barolo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
2. W|cascina ghercina|barolo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=1
3. W|cascina ghercina|barolo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=1
4. W|cascina ghercina barolo|2019|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
5. W|cascina ghercina barolo|2020|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
6. W|cascina ghercina barolo|2021|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
7. W|cascina ghercina barolo|docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
8. W|cascina ghercina barolo|docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=7
9. W|cascina ghercina barolo|docg 2021|it|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
10. W|cascina ghercina barolo|docg beschadigd etiket 2020|it|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
11. W|cascina ghercina barolo|riserva|it|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
12. W|cascina ghercina barolo|riserva|it|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=11
13. W|cascina ghercina barolo|riserva|it|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=11
14. W|cascina ghercina barolo riserva|2019|it|r|??|??|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
15. W|cascina ghercina barolo riserva|docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
16. W|cascina ghercina barolo riserva|docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=15
17. W|cascina ghercina barolo riserva|docg 2020|it|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
18. W|cascina ghercina brachetto|doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
19. W|cascina ghercina brachetto|rosato 2024|??|p|??|??|??|2024|12.5|??|leve|saladas, aves, queijos leves|seco
